session_id,date,model,trim,device,utm_source,utm_medium,utm_campaign,duration_sec,steps_completed,completed,lead_submitted,market
CFG000036,2025-02-04,DEEPAL S07,Pure,desktop,tiktok,cpc,META_GB_S07_AWR_CONQUEST_BMW_20250101,83,6,True,False,GB
CFG000037,2025-02-05,DEEPAL S07,Pure,mobile,organic,organic,TT_GB_S07_AWR_PRODUCT_FEATURES_20250103,85,5,False,False,DE
CFG000038,2025-02-06,DEEPAL S07,Design,desktop,organic,social,TT_GB_S07_AWR_DEALER_LOCATOR_20250114,174,6,True,False,GB
CFG000039,2025-02-07,DEEPAL S07,Intelligence,mobile,meta,email,META_GB_S07_AWR_CONFIGURATOR_USERS_20250124,77,1,False,False,GB
CFG000040,2025-02-08,DEEPAL S07,Intelligence,tablet,tiktok,email,META_GB_S07_AWR_CONQUEST_AUDI_20250129,76,3,False,False,GB
CFG000041,2025-02-09,DEEPAL S07,Intelligence,desktop,organic,organic,META_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250206,236,5,False,False,GB
CFG000042,2025-02-10,DEEPAL S07,Pure,mobile,direct,organic,META_GB_S07_AWR_ENGAGED_VIEWERS_20250117,329,6,True,False,DE
CFG000043,2025-02-11,DEEPAL S07,Intelligence,mobile,direct,referral,organic,97,2,False,False,GB
CFG000044,2025-02-12,DEEPAL S07,Intelligence,mobile,google,display,organic,77,7,False,False,DE
CFG000045,2025-02-13,DEEPAL S07,Design,tablet,meta,referral,organic,64,5,True,True,GB
CFG000046,2025-02-14,DEEPAL S07,Intelligence,desktop,organic,display,META_GB_S07_AWR_TECH_ENTHUSIASTS_20250207,78,7,False,False,GB
CFG000047,2025-02-15,DEEPAL S07,Design,mobile,meta,organic,META_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250209,386,7,True,False,GB
CFG000048,2025-02-16,DEEPAL S07,Design,mobile,google,display,META_GB_S07_AWR_YOUNG_PROFESSIONALS_20250127,269,6,False,False,DE
CFG000049,2025-02-17,DEEPAL S07,Intelligence,desktop,google,organic,TT_GB_S07_AWR_LIFESTYLE_20250109,169,4,False,False,GB
CFG000050,2025-02-18,DEEPAL S07,Design,mobile,meta,cpc,organic,80,4,False,False,FR
CFG000051,2025-02-19,DEEPAL S07,Pure,mobile,google,social,TT_GB_S07_AWR_PRODUCT_FEATURES_20250125,126,7,False,False,GB
CFG000052,2025-02-20,DEEPAL S07,Intelligence,desktop,meta,display,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250120,316,6,False,False,GB
CFG000053,2025-02-21,DEEPAL S07,Pure,mobile,organic,organic,META_GB_S07_AWR_FAMILY_BUYERS_20250212,198,6,False,False,DE
CFG000054,2025-02-22,DEEPAL S07,Intelligence,desktop,direct,organic,TT_GB_S07_AWR_AWARD_WINNER_20250219,151,1,False,False,GB
CFG000055,2025-02-23,DEEPAL S07,Intelligence,mobile,tiktok,email,META_GB_S07_AWR_ECO_CONSCIOUS_20250217,274,4,False,False,FR
CFG000056,2025-02-24,DEEPAL S07,Intelligence,desktop,linkedin,social,TT_GB_S07_AWR_PRICE_REVEAL_20250126,80,6,True,False,GB
CFG000057,2025-02-25,DEEPAL S07,Design,mobile,tiktok,referral,TT_GB_S07_AWR_PRODUCT_FEATURES_20250204,278,3,False,False,GB
CFG000058,2025-02-26,DEEPAL S07,Intelligence,desktop,direct,display,organic,32,6,False,False,GB
CFG000059,2025-02-27,DEEPAL S07,Design,desktop,linkedin,organic,TT_GB_S07_AWR_LIFESTYLE_20250202,100,5,False,False,GB
CFG000060,2025-02-28,DEEPAL S07,Design,mobile,direct,social,organic,198,4,False,False,DE
CFG000061,2025-03-01,DEEPAL S07,Pure,mobile,tiktok,cpc,organic,92,3,False,False,GB
CFG000062,2025-03-02,DEEPAL S07,Design,desktop,meta,display,META_GB_S07_AWR_CONFIGURATOR_USERS_20250113,82,2,False,False,DE
CFG000063,2025-03-03,DEEPAL S07,Design,mobile,tiktok,cpc,organic,135,6,True,False,GB
CFG000064,2025-03-04,DEEPAL S07,Pure,desktop,tiktok,social,organic,105,7,False,False,GB
CFG000065,2025-03-04,DEEPAL S07,Design,mobile,organic,referral,META_GB_S07_AWR_LUXURY_LIFESTYLE_20250227,142,5,False,False,DE
CFG000066,2025-03-05,DEEPAL S07,Pure,desktop,linkedin,organic,META_GB_S07_AWR_EV_INTENDERS_20250108,150,2,False,False,GB
CFG000067,2025-03-06,DEEPAL S07,Intelligence,mobile,google,referral,TT_GB_S07_AWR_LIFESTYLE_20250226,36,6,False,False,GB
CFG000068,2025-03-06,DEEPAL S07,Pure,mobile,tiktok,email,META_GB_S07_AWR_YOUNG_PROFESSIONALS_20250305,65,7,False,False,DE
CFG000069,2025-03-07,DEEPAL S07,Pure,tablet,linkedin,social,META_GB_S07_AWR_SITE_VISITORS_20250208,124,7,False,False,FR
CFG000070,2025-03-08,DEEPAL S07,Pure,mobile,direct,social,organic,173,3,False,False,GB
CFG000071,2025-03-09,DEEPAL S07,Design,tablet,linkedin,display,META_GB_S07_AWR_PREMIUM_AUTO_20250116,115,6,False,False,GB
CFG000072,2025-03-10,DEEPAL S07,Intelligence,desktop,google,cpc,META_GB_S07_AWR_FLEET_MANAGERS_20250115,929,6,True,False,GB
CFG000073,2025-03-11,DEEPAL S07,Pure,mobile,google,referral,organic,257,5,True,False,GB
CFG000074,2025-03-12,DEEPAL S07,Design,mobile,google,display,organic,363,3,False,False,GB
CFG000075,2025-03-13,DEEPAL S07,Design,desktop,google,cpc,META_GB_S07_AWR_ECO_CONSCIOUS_20250116,35,5,True,False,GB
CFG000076,2025-03-13,DEEPAL S07,Pure,mobile,google,organic,organic,184,2,False,False,GB
CFG000077,2025-03-14,DEEPAL S07,Intelligence,mobile,direct,organic,META_GB_S07_AWR_CONFIGURATOR_USERS_20250207,124,7,True,True,GB
CFG000078,2025-03-14,DEEPAL S07,Pure,mobile,organic,display,organic,191,4,False,False,DE
CFG000079,2025-03-15,DEEPAL S07,Intelligence,mobile,linkedin,email,organic,101,1,False,False,GB
CFG000080,2025-03-16,DEEPAL S07,Design,desktop,google,organic,organic,77,1,False,False,GB
CFG000081,2025-03-16,DEEPAL S07,Intelligence,tablet,tiktok,social,META_GB_S07_AWR_CONQUEST_AUDI_20250102,294,5,False,False,GB
CFG000082,2025-03-17,DEEPAL S07,Intelligence,mobile,direct,display,TT_GB_S07_AWR_LIFESTYLE_20250109,80,6,False,False,GB
CFG000083,2025-03-17,DEEPAL S07,Design,mobile,google,organic,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250203,130,5,True,False,GB
CFG000084,2025-03-18,DEEPAL S07,Intelligence,mobile,direct,organic,META_GB_S07_AWR_SITE_VISITORS_20250316,58,1,False,False,DE
CFG000085,2025-03-18,DEEPAL S07,Intelligence,mobile,meta,social,organic,205,4,False,False,GB
CFG000086,2025-03-19,DEEPAL S07,Pure,desktop,tiktok,email,organic,113,4,False,False,GB
CFG000087,2025-03-19,DEEPAL S07,Intelligence,mobile,linkedin,email,organic,66,6,False,False,GB
CFG000088,2025-03-20,DEEPAL S07,Pure,mobile,organic,email,META_GB_S07_AWR_SITE_VISITORS_20250218,139,1,False,False,GB
CFG000089,2025-03-20,DEEPAL S07,Intelligence,mobile,google,social,META_GB_S07_AWR_CONFIGURATOR_USERS_20250224,127,7,False,False,GB
CFG000090,2025-03-21,DEEPAL S07,Intelligence,mobile,linkedin,referral,organic,126,7,True,False,DE
CFG000091,2025-03-22,DEEPAL S07,Design,mobile,tiktok,organic,organic,67,5,True,False,GB
CFG000092,2025-03-23,DEEPAL S07,Design,desktop,organic,display,TT_GB_S07_AWR_PRODUCT_FEATURES_20250106,143,1,False,False,GB
CFG000093,2025-03-23,DEEPAL S07,Intelligence,mobile,meta,referral,TT_GB_S07_AWR_DEALER_LOCATOR_20250322,146,6,False,False,DE
CFG000094,2025-03-24,DEEPAL S07,Intelligence,desktop,meta,display,TT_GB_S07_AWR_AWARD_WINNER_20250222,139,5,False,False,FR
CFG000095,2025-03-25,DEEPAL S07,Intelligence,desktop,direct,referral,TT_GB_S07_AWR_LIFESTYLE_20250202,207,7,True,False,GB
CFG000096,2025-03-26,DEEPAL S07,Pure,desktop,tiktok,display,organic,65,7,True,False,GB
CFG000097,2025-03-27,DEEPAL S07,Intelligence,desktop,linkedin,cpc,TT_GB_S07_AWR_DEALER_LOCATOR_20250326,402,7,False,False,DE
CFG000098,2025-03-27,DEEPAL S07,Pure,desktop,organic,organic,organic,89,6,True,False,DE
CFG000099,2025-03-28,DEEPAL S07,Pure,mobile,direct,organic,META_GB_S07_AWR_CONQUEST_TESLA_20250129,86,6,True,False,GB
CFG000100,2025-03-29,DEEPAL S07,Design,desktop,google,referral,organic,159,5,True,True,GB
CFG000101,2025-03-30,DEEPAL S07,Intelligence,mobile,linkedin,display,organic,501,7,True,False,GB
CFG000102,2025-03-31,DEEPAL S07,Design,desktop,tiktok,email,organic,256,3,False,False,GB
CFG000103,2025-04-01,DEEPAL S07,Design,tablet,direct,cpc,META_GB_S07_AWR_EV_INTENDERS_20250325,71,1,False,False,GB
CFG000104,2025-04-01,DEEPAL S07,Pure,desktop,meta,display,TT_GB_S07_AWR_AWARD_WINNER_20250314,166,6,True,False,GB
CFG000105,2025-04-02,DEEPAL S07,Intelligence,mobile,google,referral,organic,60,1,False,False,GB
CFG000106,2025-04-03,DEEPAL S07,Intelligence,desktop,direct,social,organic,69,5,False,False,DE
CFG000107,2025-04-04,DEEPAL S07,Intelligence,desktop,organic,organic,TT_GB_S07_AWR_HERO_LAUNCH_20250110,122,5,True,True,GB
CFG000108,2025-04-05,DEEPAL S07,Design,mobile,tiktok,social,organic,155,5,True,False,GB
CFG000109,2025-04-06,DEEPAL S07,Design,mobile,linkedin,display,organic,136,6,True,False,GB
CFG000110,2025-04-07,DEEPAL S07,Intelligence,mobile,tiktok,referral,GOOG_GB_S07_SRC_BRAND_20250320,127,5,True,False,GB
CFG000111,2025-04-07,DEEPAL S07,Intelligence,desktop,google,email,TT_GB_S07_AWR_LIFESTYLE_20250310,274,6,True,False,GB
CFG000112,2025-04-08,DEEPAL S07,Design,desktop,tiktok,email,organic,85,4,False,False,GB
CFG000113,2025-04-09,DEEPAL S07,Intelligence,desktop,organic,organic,META_GB_S07_AWR_PREMIUM_AUTO_20250118,19,5,False,False,GB
CFG000114,2025-04-10,DEEPAL S07,Design,desktop,meta,referral,TT_GB_S07_AWR_PRODUCT_FEATURES_20250220,724,4,False,False,GB
CFG000115,2025-04-11,DEEPAL S07,Design,mobile,linkedin,email,organic,91,7,False,False,GB
CFG000116,2025-04-12,DEEPAL S07,Intelligence,desktop,linkedin,email,TT_GB_S07_AWR_TESTIMONIAL_20250301,164,6,False,False,GB
CFG000117,2025-04-13,DEEPAL S07,Pure,mobile,google,referral,organic,77,2,False,False,GB
CFG000118,2025-04-14,DEEPAL S07,Design,desktop,meta,cpc,organic,101,4,False,False,GB
CFG000119,2025-04-15,DEEPAL S07,Design,desktop,tiktok,referral,TT_GB_S07_AWR_PRODUCT_FEATURES_20250211,153,4,False,False,DE
CFG000120,2025-04-16,DEEPAL S07,Pure,mobile,google,referral,organic,159,5,True,False,GB
CFG000121,2025-04-16,DEEPAL S07,Design,mobile,linkedin,email,TT_GB_S07_AWR_RESERVATION_CTA_20250314,120,1,False,False,GB
CFG000122,2025-04-17,DEEPAL S07,Pure,desktop,meta,email,TT_GB_S07_AWR_PRODUCT_FEATURES_20250309,45,5,True,True,GB
CFG000123,2025-04-18,DEEPAL S07,Pure,mobile,google,referral,TT_GB_S07_AWR_PRICE_REVEAL_20250326,296,3,False,False,GB
CFG000124,2025-04-18,DEEPAL S07,Design,mobile,google,display,organic,201,5,False,False,DE
CFG000125,2025-04-19,DEEPAL S07,Intelligence,desktop,meta,cpc,META_GB_S07_AWR_LUXURY_LIFESTYLE_20250319,79,7,False,False,DE
CFG000126,2025-04-20,DEEPAL S07,Pure,mobile,linkedin,referral,META_GB_S07_AWR_FLEET_MANAGERS_20250311,128,4,False,False,GB
CFG000127,2025-04-21,DEEPAL S07,Design,desktop,meta,email,TT_GB_S07_AWR_LIFESTYLE_20250417,93,5,True,True,FR
CFG000128,2025-04-22,DEEPAL S07,Intelligence,desktop,organic,organic,organic,576,5,False,False,GB
CFG000129,2025-04-23,DEEPAL S07,Intelligence,mobile,linkedin,email,organic,350,6,False,False,GB
CFG000130,2025-04-24,DEEPAL S07,Design,desktop,organic,referral,TT_GB_S07_AWR_RESERVATION_CTA_20250412,136,7,False,False,GB
CFG000131,2025-04-25,DEEPAL S07,Design,desktop,tiktok,cpc,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250325,130,7,False,False,GB
CFG000132,2025-04-25,DEEPAL S07,Intelligence,mobile,organic,referral,GOOG_GB_S07_SRC_BRAND_20250305,536,5,True,False,FR
CFG000133,2025-04-26,DEEPAL S07,Pure,mobile,meta,referral,organic,38,7,True,False,GB
CFG000134,2025-04-27,DEEPAL S07,Intelligence,mobile,google,email,TT_GB_S07_AWR_COMPARISON_20250106,152,2,False,False,FR
CFG000135,2025-04-28,DEEPAL S07,Design,mobile,organic,email,META_GB_S07_AWR_CONQUEST_AUDI_20250309,212,5,True,False,GB
CFG000136,2025-04-29,DEEPAL S07,Pure,mobile,direct,email,TT_GB_S07_AWR_AWARD_WINNER_20250312,266,6,True,False,GB
CFG000137,2025-04-30,DEEPAL S07,Pure,mobile,organic,cpc,organic,77,7,True,True,DE
CFG000138,2025-04-30,DEEPAL S07,Intelligence,desktop,meta,email,TT_GB_S07_AWR_DEALER_LOCATOR_20250409,60,7,True,False,GB
CFG000139,2025-05-01,DEEPAL S07,Intelligence,desktop,tiktok,social,organic,46,6,True,False,DE
CFG000140,2025-05-02,DEEPAL S07,Intelligence,mobile,meta,organic,organic,315,1,False,False,GB
CFG000141,2025-05-03,DEEPAL S07,Pure,mobile,linkedin,email,organic,505,7,True,False,GB
CFG000142,2025-05-04,DEEPAL S07,Design,tablet,organic,organic,organic,96,6,False,False,GB
CFG000143,2025-05-05,DEEPAL S07,Design,mobile,organic,email,META_GB_S07_AWR_ENGAGED_VIEWERS_20250301,200,2,False,False,GB
CFG000144,2025-05-06,DEEPAL S07,Intelligence,mobile,tiktok,social,META_GB_S07_AWR_TECH_ENTHUSIASTS_20250118,83,5,False,False,GB
CFG000145,2025-05-07,DEEPAL S07,Design,mobile,direct,organic,organic,179,1,False,False,GB
CFG000146,2025-05-08,DEEPAL S07,Pure,desktop,meta,email,organic,61,7,True,False,GB
CFG000147,2025-05-09,DEEPAL S07,Design,desktop,google,organic,organic,54,3,False,False,DE
CFG000148,2025-05-10,DEEPAL S07,Pure,desktop,direct,social,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250325,229,3,False,False,GB
CFG000149,2025-05-10,DEEPAL S07,Pure,mobile,tiktok,email,META_GB_S07_AWR_TECH_ENTHUSIASTS_20250210,151,1,False,False,GB
CFG000150,2025-05-11,DEEPAL S07,Intelligence,desktop,linkedin,cpc,META_GB_S07_AWR_ENGAGED_VIEWERS_20250325,395,7,False,False,GB
CFG000151,2025-05-11,DEEPAL S07,Intelligence,desktop,meta,cpc,organic,340,7,False,False,DE
CFG000152,2025-05-12,DEEPAL S07,Pure,mobile,meta,referral,META_GB_S07_AWR_CONFIGURATOR_USERS_20250417,395,7,True,False,GB
CFG000153,2025-05-13,DEEPAL S07,Design,mobile,direct,display,organic,57,5,False,False,GB
CFG000154,2025-05-13,DEEPAL S07,Pure,mobile,organic,email,TT_GB_S07_AWR_AWARD_WINNER_20250214,89,5,True,True,GB
CFG000155,2025-05-14,DEEPAL S07,Pure,tablet,organic,email,organic,176,7,False,False,DE
CFG000156,2025-05-15,DEEPAL S07,Pure,desktop,linkedin,referral,organic,198,6,True,False,GB
CFG000157,2025-05-15,DEEPAL S07,Design,mobile,direct,email,META_GB_S07_AWR_EV_INTENDERS_20250422,188,5,True,True,GB
CFG000158,2025-05-16,DEEPAL S07,Pure,desktop,organic,email,TT_GB_S07_AWR_PRODUCT_FEATURES_20250220,192,1,False,False,GB
CFG000159,2025-05-17,DEEPAL S07,Pure,desktop,organic,display,META_GB_S07_AWR_PREMIUM_AUTO_20250202,80,5,True,False,GB
CFG000160,2025-05-17,DEEPAL S07,Intelligence,desktop,tiktok,organic,META_GB_S07_AWR_FAMILY_BUYERS_20250207,1072,7,True,False,GB
CFG000161,2025-05-18,DEEPAL S07,Design,mobile,direct,social,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250101,77,1,False,False,DE
CFG000162,2025-05-19,DEEPAL S07,Intelligence,desktop,linkedin,display,organic,265,5,False,False,DE
CFG000163,2025-05-20,DEEPAL S07,Design,mobile,meta,cpc,organic,44,5,True,False,GB
CFG000164,2025-05-21,DEEPAL S07,Design,desktop,tiktok,cpc,META_GB_S07_AWR_CONFIGURATOR_USERS_20250225,63,6,False,False,DE
CFG000165,2025-05-22,DEEPAL S07,Intelligence,mobile,google,referral,organic,58,5,True,False,FR
CFG000166,2025-05-23,DEEPAL S07,Pure,mobile,tiktok,social,META_GB_S07_AWR_FLEET_MANAGERS_20250211,351,1,False,False,GB
CFG000167,2025-05-24,DEEPAL S07,Pure,mobile,linkedin,cpc,TT_GB_S07_AWR_TESTIMONIAL_20250303,91,3,False,False,GB
CFG000168,2025-05-25,DEEPAL S07,Pure,mobile,organic,cpc,META_GB_S07_AWR_PREMIUM_AUTO_20250523,304,7,True,False,FR
CFG000169,2025-05-25,DEEPAL S07,Pure,mobile,direct,display,META_GB_S07_AWR_SITE_VISITORS_20250202,264,6,False,False,GB
CFG000170,2025-05-26,DEEPAL S07,Design,desktop,meta,referral,TT_GB_S07_AWR_TESTIMONIAL_20250509,112,2,False,False,DE
CFG000171,2025-05-27,DEEPAL S07,Design,mobile,linkedin,display,META_GB_S07_AWR_ECO_CONSCIOUS_20250227,154,5,True,False,GB
CFG000172,2025-05-28,DEEPAL S07,Pure,mobile,google,display,TT_GB_S07_AWR_RESERVATION_CTA_20250316,321,1,False,False,GB
CFG000173,2025-05-28,DEEPAL S07,Design,mobile,organic,cpc,META_GB_S07_AWR_TECH_ENTHUSIASTS_20250220,210,7,True,False,GB
CFG000174,2025-05-29,DEEPAL S07,Design,tablet,organic,referral,META_GB_S07_AWR_EV_INTENDERS_20250325,176,3,False,False,DE
CFG000175,2025-05-30,DEEPAL S07,Pure,desktop,linkedin,cpc,META_GB_S07_AWR_CONFIGURATOR_USERS_20250219,98,3,False,False,GB
CFG000176,2025-05-31,DEEPAL S07,Design,mobile,meta,email,organic,227,6,True,False,GB
CFG000177,2025-05-31,DEEPAL S07,Pure,desktop,organic,social,META_GB_S07_AWR_FAMILY_BUYERS_20250205,399,3,False,False,GB
CFG000178,2025-06-01,DEEPAL S07,Intelligence,mobile,tiktok,social,META_GB_S07_AWR_CONFIGURATOR_USERS_20250502,63,6,False,False,GB
CFG000179,2025-06-02,DEEPAL S07,Pure,desktop,organic,email,TT_GB_S07_AWR_PRODUCT_FEATURES_20250531,236,5,False,False,DE
CFG000180,2025-06-03,DEEPAL S07,Pure,mobile,google,referral,META_GB_S07_AWR_FAMILY_BUYERS_20250315,139,4,False,False,GB
CFG000181,2025-06-03,DEEPAL S07,Design,mobile,tiktok,organic,organic,256,6,True,False,GB
CFG000182,2025-06-04,DEEPAL S07,Intelligence,tablet,meta,display,META_GB_S07_AWR_FLEET_MANAGERS_20250325,35,6,False,False,DE
CFG000183,2025-06-04,DEEPAL S07,Design,mobile,google,cpc,TT_GB_S07_AWR_HERO_LAUNCH_20250421,157,5,False,False,GB
CFG000184,2025-06-05,DEEPAL S07,Design,desktop,linkedin,social,GOOG_GB_S07_SRC_BRAND_20250321,216,6,True,False,GB
CFG000185,2025-06-06,DEEPAL S07,Design,mobile,tiktok,referral,organic,115,3,False,False,GB
CFG000186,2025-06-07,DEEPAL S07,Design,mobile,organic,display,organic,128,6,True,False,GB
CFG000187,2025-06-07,DEEPAL S07,Intelligence,tablet,direct,email,META_GB_S07_AWR_CONQUEST_BMW_20250120,118,5,False,False,GB
CFG000188,2025-06-08,DEEPAL S07,Pure,desktop,organic,organic,META_GB_S07_AWR_FAMILY_BUYERS_20250308,86,7,True,False,DE
CFG000189,2025-06-08,DEEPAL S07,Intelligence,desktop,meta,email,organic,181,6,True,False,GB
CFG000190,2025-06-09,DEEPAL S07,Intelligence,mobile,google,referral,GOOG_GB_S07_SRC_BRAND_20250518,709,5,True,True,GB
CFG000191,2025-06-09,DEEPAL S07,Intelligence,mobile,direct,social,TT_GB_S07_AWR_RESERVATION_CTA_20250402,16,5,True,False,GB
CFG000192,2025-06-10,DEEPAL S07,Pure,mobile,google,cpc,META_GB_S07_AWR_EV_INTENDERS_20250330,93,6,False,False,FR
CFG000193,2025-06-10,DEEPAL S07,Intelligence,mobile,google,social,organic,94,3,False,False,DE
CFG000194,2025-06-11,DEEPAL S07,Pure,mobile,meta,cpc,organic,92,7,False,False,GB
CFG000195,2025-06-12,DEEPAL S07,Pure,desktop,tiktok,organic,organic,178,7,True,False,GB
CFG000196,2025-06-13,DEEPAL S07,Design,desktop,organic,cpc,organic,42,3,False,False,GB
CFG000197,2025-06-14,DEEPAL S07,Intelligence,mobile,organic,organic,organic,133,5,True,False,GB
CFG000198,2025-06-15,DEEPAL S07,Design,tablet,google,email,organic,45,5,False,False,GB
CFG000199,2025-06-15,DEEPAL S07,Pure,desktop,direct,organic,META_GB_S07_AWR_EV_INTENDERS_20250405,41,5,False,False,GB
CFG000200,2025-06-16,DEEPAL S07,Pure,mobile,meta,cpc,organic,92,5,True,False,GB
CFG000201,2025-06-16,DEEPAL S07,Design,mobile,linkedin,email,organic,26,1,False,False,GB
CFG000202,2025-06-17,DEEPAL S07,Pure,mobile,linkedin,cpc,META_GB_S07_AWR_LUXURY_LIFESTYLE_20250422,756,1,False,False,GB
CFG000203,2025-06-17,DEEPAL S07,Intelligence,mobile,tiktok,cpc,META_GB_S07_AWR_FAMILY_BUYERS_20250426,837,7,True,False,GB
CFG000204,2025-06-18,DEEPAL S07,Pure,desktop,linkedin,cpc,organic,227,3,False,False,DE
CFG000205,2025-06-18,DEEPAL S07,Pure,mobile,tiktok,cpc,META_GB_S07_AWR_EV_INTENDERS_20250301,311,2,False,False,FR
CFG000206,2025-06-18,DEEPAL S07,Design,mobile,linkedin,email,organic,218,4,False,False,GB
CFG000207,2025-06-19,DEEPAL S07,Intelligence,mobile,linkedin,social,organic,177,2,False,False,GB
CFG000208,2025-06-19,DEEPAL S07,Design,desktop,meta,referral,TT_GB_S07_AWR_LIFESTYLE_20250302,157,7,False,False,DE
CFG000209,2025-06-20,DEEPAL S07,Intelligence,desktop,linkedin,referral,organic,257,6,True,False,GB
CFG000210,2025-06-20,DEEPAL S07,Design,mobile,direct,display,GOOG_GB_S07_SRC_BRAND_20250203,207,6,True,False,GB
CFG000211,2025-06-21,DEEPAL S07,Intelligence,mobile,meta,email,META_GB_S07_AWR_FLEET_MANAGERS_20250225,51,5,True,False,DE
CFG000212,2025-06-21,DEEPAL S07,Pure,mobile,direct,display,META_GB_S07_AWR_PREMIUM_AUTO_20250307,204,6,False,False,FR
