date,campaign_name,campaign_id,objective,market,model,impressions,clicks,ctr,cpm,spend,video_views,video_view_rate,avg_watch_time_seconds,shares,comments,likes,profile_visits,website_clicks
2025-01-07,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250107,TI52162,awareness,GB,DEEPAL S07,14441,84,0.005817,6.65,96.04,8798,0.6092,13.3,62,19,61,5,48
2025-01-07,TT_GB_S07_AWR_PRODUCT_FEATURES_20250107,TI78964,awareness,GB,DEEPAL S07,69808,607,0.008695,7.74,540.03,39627,0.5677,4.0,233,107,759,96,422
2025-01-07,TT_GB_S07_AWR_COMPARISON_20250107,TI38189,awareness,GB,DEEPAL S07,31084,502,0.01615,4.19,130.14,14998,0.4825,4.7,41,19,341,98,309
2025-01-07,TT_GB_S07_AWR_HERO_LAUNCH_20250107,TI72026,awareness,GB,DEEPAL S07,16308,200,0.012264,7.4,120.61,11973,0.7342,11.8,38,29,236,21,65
2025-01-07,TT_GB_S07_AWR_HERO_LAUNCH_20250107,TI64716,awareness,GB,DEEPAL S07,49243,325,0.0066,5.12,252.11,30888,0.6273,5.4,123,16,217,36,207
2025-01-08,TT_GB_S07_AWR_TESTIMONIAL_20250108,TI71571,awareness,GB,DEEPAL S07,39507,654,0.016554,8.14,321.67,17734,0.4489,12.3,100,9,206,121,314
2025-01-08,TT_GB_S07_AWR_PRODUCT_FEATURES_20250108,TI55353,awareness,GB,DEEPAL S07,12320,114,0.009253,5.84,71.9,5021,0.4075,5.6,8,10,33,12,79
2025-01-08,TT_GB_S07_AWR_AWARD_WINNER_20250108,TI64175,awareness,GB,DEEPAL S07,42390,333,0.007856,8.76,371.3,20146,0.4753,9.0,24,34,256,49,231
2025-01-08,TT_GB_S07_AWR_COMPARISON_20250108,TI20604,awareness,GB,DEEPAL S07,33799,409,0.012101,7.4,250.12,20890,0.6181,7.0,48,28,295,55,124
2025-01-08,TT_GB_S07_AWR_HERO_LAUNCH_20250108,TI11333,awareness,GB,DEEPAL S07,19026,163,0.008567,8.33,158.5,13546,0.712,8.0,104,38,252,9,59
2025-01-09,TT_GB_S07_AWR_HERO_LAUNCH_20250109,TI76791,awareness,GB,DEEPAL S07,8924,125,0.014007,8.89,79.31,5776,0.6472,12.6,17,5,109,14,45
2025-01-09,TT_GB_S07_AWR_LIFESTYLE_20250109,TI34516,awareness,GB,DEEPAL S07,2899,43,0.014833,6.06,17.59,1232,0.425,10.1,6,3,7,6,27
2025-01-09,TT_GB_S07_AWR_AWARD_WINNER_20250109,TI55847,awareness,GB,DEEPAL S07,65263,873,0.013377,6.16,401.7,40365,0.6185,8.2,197,74,424,110,479
2025-01-09,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250109,TI83096,awareness,GB,DEEPAL S07,54991,835,0.015184,5.43,298.64,27941,0.5081,9.7,192,73,211,56,521
2025-01-09,TT_GB_S07_AWR_PRICE_REVEAL_20250109,TI95111,awareness,GB,DEEPAL S07,33197,333,0.010031,5.57,185.0,16376,0.4933,5.5,104,47,368,21,158
2025-01-10,TT_GB_S07_AWR_COMPARISON_20250110,TI21297,awareness,GB,DEEPAL S07,1493,13,0.008707,9.28,13.86,879,0.5887,11.0,2,0,4,0,7
2025-01-10,TT_GB_S07_AWR_PRODUCT_FEATURES_20250110,TI72603,awareness,GB,DEEPAL S07,1345,14,0.010409,7.74,10.41,779,0.5792,13.8,4,0,7,2,5
2025-01-10,TT_GB_S07_AWR_COMPARISON_20250110,TI28136,awareness,GB,DEEPAL S07,32171,189,0.005875,6.5,209.0,12970,0.4032,6.4,98,20,211,15,73
2025-01-10,TT_GB_S07_AWR_HERO_LAUNCH_20250110,TI42046,awareness,GB,DEEPAL S07,42763,347,0.008114,5.11,218.33,19533,0.4568,9.9,26,14,465,32,200
2025-01-10,TT_GB_S07_AWR_PRODUCT_FEATURES_20250110,TI98755,awareness,GB,DEEPAL S07,48235,743,0.015404,9.7,468.07,36043,0.7472,4.0,96,48,650,66,466
2025-01-11,TT_GB_S07_AWR_COMPARISON_20250111,TI96213,awareness,GB,DEEPAL S07,40605,438,0.010787,6.45,262.06,17434,0.4294,7.8,52,24,257,47,242
2025-01-11,TT_GB_S07_AWR_PRICE_REVEAL_20250111,TI86624,awareness,GB,DEEPAL S07,17941,321,0.017892,5.48,98.34,10083,0.562,12.3,22,14,155,42,162
2025-01-11,TT_GB_S07_AWR_RESERVATION_CTA_20250111,TI13844,awareness,GB,DEEPAL S07,9126,60,0.006575,5.81,53.03,4324,0.4738,8.5,18,6,83,9,28
2025-01-11,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250111,TI90704,awareness,GB,DEEPAL S07,36716,464,0.012638,5.64,207.19,26042,0.7093,13.1,112,41,400,64,321
2025-01-11,TT_GB_S07_AWR_HERO_LAUNCH_20250111,TI68915,awareness,GB,DEEPAL S07,12026,172,0.014302,9.82,118.09,7411,0.6162,3.9,9,21,135,21,116
2025-01-12,TT_GB_S07_AWR_RESERVATION_CTA_20250112,TI65865,awareness,GB,DEEPAL S07,23602,397,0.016821,8.24,194.58,12868,0.5452,8.5,61,22,311,44,260
2025-01-12,TT_GB_S07_AWR_AWARD_WINNER_20250112,TI12015,awareness,GB,DEEPAL S07,9558,147,0.01538,9.04,86.43,7060,0.7386,13.6,8,4,174,15,48
2025-01-12,TT_GB_S07_AWR_RESERVATION_CTA_20250112,TI56279,awareness,GB,DEEPAL S07,36832,391,0.010616,5.44,200.55,19979,0.5424,10.0,78,41,208,40,242
2025-01-12,TT_GB_S07_AWR_DEALER_LOCATOR_20250112,TI69427,awareness,GB,DEEPAL S07,23964,141,0.005884,9.47,227.04,12254,0.5114,12.0,31,7,110,18,53
2025-01-12,TT_GB_S07_AWR_TESTIMONIAL_20250112,TI56623,awareness,GB,DEEPAL S07,30720,389,0.012663,8.07,247.77,13129,0.4274,6.8,41,17,215,43,143
2025-01-13,TT_GB_S07_AWR_PRODUCT_FEATURES_20250113,TI66422,awareness,GB,DEEPAL S07,8104,68,0.008391,9.68,78.43,5409,0.6674,4.0,27,4,100,7,32
2025-01-13,TT_GB_S07_AWR_LIFESTYLE_20250113,TI75730,awareness,GB,DEEPAL S07,36688,650,0.017717,5.87,215.3,24719,0.6738,6.5,140,44,428,77,437
2025-01-13,TT_GB_S07_AWR_COMPARISON_20250113,TI95432,awareness,GB,DEEPAL S07,75426,942,0.012489,6.85,516.69,43019,0.5703,9.7,299,122,509,142,300
2025-01-13,TT_GB_S07_AWR_RESERVATION_CTA_20250113,TI84000,awareness,GB,DEEPAL S07,9271,107,0.011541,4.14,38.36,5771,0.6225,12.8,19,9,54,20,62
2025-01-13,TT_GB_S07_AWR_RESERVATION_CTA_20250113,TI79792,awareness,GB,DEEPAL S07,7816,66,0.008444,6.37,49.76,4718,0.6036,13.2,33,10,71,9,37
2025-01-14,TT_GB_S07_AWR_LIFESTYLE_20250114,TI45514,awareness,GB,DEEPAL S07,2279,25,0.01097,8.26,18.84,1463,0.6419,12.2,5,2,20,2,14
2025-01-14,TT_GB_S07_AWR_AWARD_WINNER_20250114,TI66528,awareness,GB,DEEPAL S07,39662,542,0.013665,4.86,192.83,19689,0.4964,4.8,115,30,349,31,228
2025-01-14,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250114,TI95519,awareness,GB,DEEPAL S07,9261,158,0.017061,6.1,56.45,4367,0.4715,11.3,21,7,39,21,79
2025-01-14,TT_GB_S07_AWR_PRODUCT_FEATURES_20250114,TI90310,awareness,GB,DEEPAL S07,38077,446,0.011713,8.61,327.7,24000,0.6303,4.6,125,58,366,83,140
2025-01-14,TT_GB_S07_AWR_DEALER_LOCATOR_20250114,TI28495,awareness,GB,DEEPAL S07,49732,646,0.01299,7.78,386.7,36971,0.7434,9.2,139,81,445,114,428
2025-01-15,TT_GB_S07_AWR_AWARD_WINNER_20250115,TI89561,awareness,GB,DEEPAL S07,35481,207,0.005834,8.08,286.6,17850,0.5031,5.8,89,48,430,39,77
2025-01-15,TT_GB_S07_AWR_LIFESTYLE_20250115,TI16249,awareness,GB,DEEPAL S07,696,7,0.010057,9.48,6.6,318,0.4569,5.3,1,0,2,1,2
2025-01-15,TT_GB_S07_AWR_AWARD_WINNER_20250115,TI59010,awareness,GB,DEEPAL S07,78945,608,0.007702,4.14,326.94,40044,0.5072,6.3,310,34,334,98,237
2025-01-15,TT_GB_S07_AWR_TESTIMONIAL_20250115,TI65856,awareness,GB,DEEPAL S07,28760,350,0.01217,7.16,206.05,17779,0.6182,13.5,84,40,401,64,241
2025-01-15,TT_GB_S07_AWR_COMPARISON_20250115,TI88121,awareness,GB,DEEPAL S07,11514,99,0.008598,8.0,92.16,6343,0.5509,11.6,42,7,37,16,65
2025-01-16,TT_GB_S07_AWR_COMPARISON_20250116,TI52917,awareness,GB,DEEPAL S07,57223,664,0.011604,9.75,557.98,41762,0.7298,7.1,221,45,741,125,361
2025-01-16,TT_GB_S07_AWR_PRICE_REVEAL_20250116,TI62620,awareness,GB,DEEPAL S07,38877,467,0.012012,4.21,163.74,25807,0.6638,10.8,57,58,563,64,163
2025-01-16,TT_GB_S07_AWR_DEALER_LOCATOR_20250116,TI68781,awareness,GB,DEEPAL S07,38256,468,0.012233,5.95,227.77,21287,0.5564,11.4,164,43,148,76,220
2025-01-16,TT_GB_S07_AWR_AWARD_WINNER_20250116,TI65990,awareness,GB,DEEPAL S07,28557,483,0.016914,5.32,151.93,19880,0.6962,4.3,71,46,415,43,162
2025-01-16,TT_GB_S07_AWR_RESERVATION_CTA_20250116,TI87588,awareness,GB,DEEPAL S07,8725,106,0.012149,7.72,67.36,5708,0.6542,7.4,36,5,43,20,40
2025-01-17,TT_GB_S07_AWR_COMPARISON_20250117,TI46247,awareness,GB,DEEPAL S07,43587,303,0.006952,4.06,176.86,22523,0.5167,11.1,42,13,150,47,148
2025-01-17,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250117,TI17491,awareness,GB,DEEPAL S07,53638,560,0.01044,7.12,381.96,26947,0.5024,6.6,80,15,361,33,366
2025-01-17,TT_GB_S07_AWR_LIFESTYLE_20250117,TI16408,awareness,GB,DEEPAL S07,29984,279,0.009305,7.87,235.91,16578,0.5529,10.7,74,36,144,26,84
2025-01-17,TT_GB_S07_AWR_DEALER_LOCATOR_20250117,TI11760,awareness,GB,DEEPAL S07,4590,45,0.009804,8.44,38.75,2988,0.651,4.3,22,6,72,7,18
2025-01-17,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250117,TI83960,awareness,GB,DEEPAL S07,22021,284,0.012897,6.83,150.39,15694,0.7127,7.3,83,19,371,47,155
2025-01-18,TT_GB_S07_AWR_HERO_LAUNCH_20250118,TI30977,awareness,GB,DEEPAL S07,13376,127,0.009495,8.28,110.79,5892,0.4405,12.6,29,9,66,12,60
2025-01-18,TT_GB_S07_AWR_PRICE_REVEAL_20250118,TI48902,awareness,GB,DEEPAL S07,7254,120,0.016543,7.04,51.04,3825,0.5273,3.9,17,7,27,8,54
2025-01-18,TT_GB_S07_AWR_AWARD_WINNER_20250118,TI10899,awareness,GB,DEEPAL S07,62404,881,0.014118,4.3,268.57,40337,0.6464,5.0,156,95,291,89,356
2025-01-18,TT_GB_S07_AWR_PRICE_REVEAL_20250118,TI35473,awareness,GB,DEEPAL S07,22735,123,0.00541,4.49,102.16,16678,0.7336,3.9,81,26,173,19,82
2025-01-18,TT_GB_S07_AWR_TESTIMONIAL_20250118,TI20951,awareness,GB,DEEPAL S07,21380,283,0.013237,9.75,208.4,14336,0.6705,13.0,49,28,272,40,140
2025-01-19,TT_GB_S07_AWR_AWARD_WINNER_20250119,TI90568,awareness,GB,DEEPAL S07,516,9,0.017442,9.31,4.81,293,0.5678,12.9,2,0,5,1,4
2025-01-19,TT_GB_S07_AWR_HERO_LAUNCH_20250119,TI58011,awareness,GB,DEEPAL S07,20136,237,0.01177,5.45,109.7,13823,0.6865,13.7,90,34,288,22,104
2025-01-19,TT_GB_S07_AWR_PRODUCT_FEATURES_20250119,TI68397,awareness,GB,DEEPAL S07,61213,659,0.010766,9.82,601.3,31000,0.5064,14.6,112,83,691,98,388
2025-01-19,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250119,TI46541,awareness,GB,DEEPAL S07,7436,71,0.009548,8.58,63.78,3229,0.4342,10.6,19,3,33,5,39
2025-01-19,TT_GB_S07_AWR_DEALER_LOCATOR_20250119,TI88531,awareness,GB,DEEPAL S07,6059,77,0.012708,7.06,42.75,3248,0.5361,14.4,19,7,25,15,24
2025-01-20,TT_GB_S07_AWR_PRODUCT_FEATURES_20250120,TI90442,awareness,GB,DEEPAL S07,3678,48,0.013051,8.29,30.51,2711,0.7371,12.9,9,1,37,9,29
2025-01-20,TT_GB_S07_AWR_LIFESTYLE_20250120,TI20212,awareness,GB,DEEPAL S07,8731,112,0.012828,9.21,80.45,5870,0.6723,5.2,21,12,132,6,61
2025-01-20,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250120,TI39518,awareness,GB,DEEPAL S07,18772,331,0.017633,7.96,149.37,9758,0.5198,10.6,75,28,184,61,163
2025-01-20,TT_GB_S07_AWR_HERO_LAUNCH_20250120,TI80541,awareness,GB,DEEPAL S07,57344,805,0.014038,5.52,316.78,39203,0.6836,12.7,150,21,968,101,560
2025-01-20,TT_GB_S07_AWR_TESTIMONIAL_20250120,TI55468,awareness,GB,DEEPAL S07,48983,503,0.010269,6.04,295.85,23132,0.4722,5.2,122,31,261,50,297
2025-01-21,TT_GB_S07_AWR_COMPARISON_20250121,TI38115,awareness,GB,DEEPAL S07,9053,124,0.013697,8.82,79.84,6202,0.6851,11.2,30,8,142,6,40
2025-01-21,TT_GB_S07_AWR_HERO_LAUNCH_20250121,TI46984,awareness,GB,DEEPAL S07,16327,109,0.006676,4.64,75.81,9819,0.6014,5.0,44,26,186,19,35
2025-01-21,TT_GB_S07_AWR_AWARD_WINNER_20250121,TI10555,awareness,GB,DEEPAL S07,31477,429,0.013629,5.54,174.51,18555,0.5895,8.9,68,32,133,40,178
2025-01-21,TT_GB_S07_AWR_AWARD_WINNER_20250121,TI79347,awareness,GB,DEEPAL S07,46129,446,0.009669,4.51,207.84,19961,0.4327,11.9,37,36,403,88,298
2025-01-21,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250121,TI29130,awareness,GB,DEEPAL S07,57638,681,0.011815,9.02,519.71,28081,0.4872,6.2,147,53,576,117,214
2025-01-22,TT_GB_S07_AWR_AWARD_WINNER_20250122,TI42355,awareness,GB,DEEPAL S07,20962,210,0.010018,5.97,125.24,13740,0.6555,10.2,80,33,134,25,63
2025-01-22,TT_GB_S07_AWR_TESTIMONIAL_20250122,TI89220,awareness,GB,DEEPAL S07,11570,74,0.006396,8.06,93.27,8345,0.7213,10.1,60,13,163,8,30
2025-01-22,TT_GB_S07_AWR_HERO_LAUNCH_20250122,TI88801,awareness,GB,DEEPAL S07,12174,108,0.008871,9.46,115.15,6422,0.5275,10.6,50,12,50,17,50
2025-01-22,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250122,TI52135,awareness,GB,DEEPAL S07,41731,593,0.01421,4.01,167.34,20953,0.5021,4.8,65,20,346,67,382
2025-01-22,TT_GB_S07_AWR_RESERVATION_CTA_20250122,TI40823,awareness,GB,DEEPAL S07,126119,1349,0.010696,4.85,612.23,74864,0.5936,9.4,115,107,1063,231,471
2025-01-23,TT_GB_S07_AWR_AWARD_WINNER_20250123,TI33388,awareness,GB,DEEPAL S07,18131,156,0.008604,7.19,130.34,10285,0.5673,14.4,62,17,82,21,84
2025-01-23,TT_GB_S07_AWR_PRICE_REVEAL_20250123,TI58757,awareness,GB,DEEPAL S07,20228,311,0.015375,6.79,137.32,14593,0.7214,6.9,43,7,229,60,191
2025-01-23,TT_GB_S07_AWR_HERO_LAUNCH_20250123,TI57680,awareness,GB,DEEPAL S07,17636,216,0.012248,8.95,157.89,9803,0.5559,8.5,66,12,50,32,121
2025-01-23,TT_GB_S07_AWR_DEALER_LOCATOR_20250123,TI67891,awareness,GB,DEEPAL S07,54058,381,0.007048,6.31,340.84,31025,0.5739,14.0,86,16,265,34,143
2025-01-23,TT_GB_S07_AWR_PRICE_REVEAL_20250123,TI31654,awareness,GB,DEEPAL S07,49907,620,0.012423,5.05,251.81,36638,0.7341,9.6,236,26,368,31,365
2025-01-24,TT_GB_S07_AWR_PRODUCT_FEATURES_20250124,TI78674,awareness,GB,DEEPAL S07,54951,549,0.009991,9.59,527.21,36817,0.67,5.8,66,47,800,99,173
2025-01-24,TT_GB_S07_AWR_PRODUCT_FEATURES_20250124,TI66488,awareness,GB,DEEPAL S07,11989,171,0.014263,8.89,106.53,8197,0.6837,6.3,35,24,44,30,98
2025-01-24,TT_GB_S07_AWR_PRICE_REVEAL_20250124,TI99381,awareness,GB,DEEPAL S07,19038,229,0.012029,8.29,157.87,9852,0.5175,9.0,38,28,78,37,103
2025-01-24,TT_GB_S07_AWR_COMPARISON_20250124,TI61333,awareness,GB,DEEPAL S07,67335,684,0.010158,4.66,313.71,32414,0.4814,4.6,38,68,729,102,334
2025-01-24,TT_GB_S07_AWR_HERO_LAUNCH_20250124,TI38086,awareness,GB,DEEPAL S07,12205,155,0.0127,4.18,50.97,7574,0.6206,9.4,22,8,62,20,81
2025-01-25,TT_GB_S07_AWR_DEALER_LOCATOR_20250125,TI49988,awareness,GB,DEEPAL S07,6174,73,0.011824,5.41,33.43,2569,0.4161,4.6,16,2,60,7,26
2025-01-25,TT_GB_S07_AWR_PRODUCT_FEATURES_20250125,TI13980,awareness,GB,DEEPAL S07,28284,221,0.007814,8.71,246.38,16810,0.5943,14.2,90,36,323,36,121
2025-01-25,TT_GB_S07_AWR_LIFESTYLE_20250125,TI71965,awareness,GB,DEEPAL S07,1274,13,0.010204,6.27,7.99,943,0.7402,13.2,3,2,14,1,4
2025-01-25,TT_GB_S07_AWR_COMPARISON_20250125,TI45398,awareness,GB,DEEPAL S07,35216,322,0.009144,9.89,348.38,15905,0.4516,6.6,53,44,391,17,141
2025-01-25,TT_GB_S07_AWR_PRODUCT_FEATURES_20250125,TI42234,awareness,GB,DEEPAL S07,17727,219,0.012354,6.31,111.87,8254,0.4656,4.8,10,10,132,32,75
2025-01-26,TT_GB_S07_AWR_LIFESTYLE_20250126,TI10640,awareness,GB,DEEPAL S07,30275,358,0.011825,4.96,150.19,14573,0.4814,8.0,108,40,285,62,153
2025-01-26,TT_GB_S07_AWR_PRICE_REVEAL_20250126,TI88022,awareness,GB,DEEPAL S07,6903,47,0.006809,6.81,47.03,4343,0.6291,4.1,23,4,30,5,14
2025-01-26,TT_GB_S07_AWR_TESTIMONIAL_20250126,TI82349,awareness,GB,DEEPAL S07,5989,94,0.015695,6.74,40.37,3447,0.5756,8.2,16,2,70,15,45
2025-01-26,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250126,TI12503,awareness,GB,DEEPAL S07,27565,253,0.009178,8.28,228.18,14271,0.5177,3.8,16,13,182,12,126
2025-01-26,TT_GB_S07_AWR_DEALER_LOCATOR_20250126,TI15072,awareness,GB,DEEPAL S07,42963,554,0.012895,9.93,426.47,23173,0.5394,6.6,54,39,335,27,240
2025-01-27,TT_GB_S07_AWR_CONFIGURATOR_CTA_20250127,TI79043,awareness,GB,DEEPAL S07,18008,260,0.014438,5.39,97.12,13467,0.7478,11.0,93,36,94,49,115
2025-01-27,TT_GB_S07_AWR_TESTIMONIAL_20250127,TI65748,awareness,GB,DEEPAL S07,33590,379,0.011283,9.03,303.28,22535,0.6709,8.8,69,39,424,71,195
2025-01-27,TT_GB_S07_AWR_TESTIMONIAL_20250127,TI28094,awareness,GB,DEEPAL S07,30493,408,0.01338,8.21,250.34,12427,0.4075,6.2,70,20,179,22,199
2025-01-27,TT_GB_S07_AWR_HERO_LAUNCH_20250127,TI73283,awareness,GB,DEEPAL S07,23513,132,0.005614,6.07,142.7,15116,0.6429,13.1,51,38,170,15,60
2025-01-27,TT_GB_S07_AWR_DEALER_LOCATOR_20250127,TI32052,awareness,GB,DEEPAL S07,45533,508,0.011157,8.07,367.28,19084,0.4191,13.8,110,56,183,48,306
2025-01-28,TT_GB_S07_AWR_LIFESTYLE_20250128,TI82525,awareness,GB,DEEPAL S07,6349,110,0.017326,9.32,59.19,4306,0.6782,5.5,14,4,26,10,74
2025-01-28,TT_GB_S07_AWR_PRODUCT_FEATURES_20250128,TI75115,awareness,GB,DEEPAL S07,27571,236,0.00856,7.21,198.9,20075,0.7281,3.2,39,47,440,22,100
2025-01-28,TT_GB_S07_AWR_LIFESTYLE_20250128,TI69958,awareness,GB,DEEPAL S07,20091,197,0.009805,5.04,101.2,9933,0.4944,4.9,73,17,65,26,122
2025-01-28,TT_GB_S07_AWR_COMPARISON_20250128,TI17978,awareness,GB,DEEPAL S07,61444,1102,0.017935,8.34,512.65,32257,0.525,5.2,132,96,677,70,401
2025-01-28,TT_GB_S07_AWR_RESERVATION_CTA_20250128,TI48947,awareness,GB,DEEPAL S07,61274,910,0.014851,4.85,297.35,44255,0.7222,9.5,180,67,739,123,405
2025-01-29,TT_GB_S07_AWR_TESTIMONIAL_20250129,TI19459,awareness,GB,DEEPAL S07,42639,728,0.017074,5.94,253.15,30334,0.7114,9.0,74,84,476,142,241
2025-01-29,TT_GB_S07_AWR_AWARD_WINNER_20250129,TI74728,awareness,GB,DEEPAL S07,28799,473,0.016424,5.01,144.23,16737,0.5812,3.3,67,37,302,58,305
2025-01-29,TT_GB_S07_AWR_TESTIMONIAL_20250129,TI82122,awareness,GB,DEEPAL S07,27885,475,0.017034,7.28,203.03,15081,0.5408,11.8,112,44,224,31,254
2025-01-29,TT_GB_S07_AWR_PRICE_REVEAL_20250129,TI37762,awareness,GB,DEEPAL S07,4940,62,0.012551,8.19,40.45,3557,0.72,5.7,16,10,77,11,25
