date,campaign_name,campaign_id,objective,market,model,impressions,clicks,ctr,cpm,cpc,spend,leads,cost_per_lead,social_actions,follower_gains,company_page_clicks
2025-01-06,LI_GB_S07_AWR_CONQUEST_AUDI_20250106,LI73719,awareness,GB,DEEPAL S07,13769,79,0.005738,28.37,4.95,390.69,0,0.0,43,0,6
2025-01-06,LI_GB_S07_AWR_ECO_CONSCIOUS_20250106,LI46578,awareness,GB,DEEPAL S07,4998,46,0.009204,36.96,4.02,184.75,0,0.0,10,0,6
2025-01-07,LI_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250107,LI49922,awareness,GB,DEEPAL S07,8108,54,0.00666,26.83,4.03,217.59,0,0.0,23,1,3
2025-01-07,LI_GB_S07_AWR_FLEET_MANAGERS_20250107,LI87002,awareness,GB,DEEPAL S07,8878,57,0.00642,20.63,3.21,183.18,0,0.0,20,0,7
2025-01-07,LI_GB_S07_AWR_EV_INTENDERS_20250107,LI66176,awareness,GB,DEEPAL S07,7596,24,0.00316,29.34,9.29,222.92,0,0.0,21,1,1
2025-01-08,LI_GB_S07_AWR_FAMILY_BUYERS_20250108,LI60836,awareness,GB,DEEPAL S07,3230,9,0.002786,37.26,13.37,120.37,0,0.0,8,0,0
2025-01-08,LI_GB_S07_AWR_FAMILY_BUYERS_20250108,LI12529,awareness,GB,DEEPAL S07,1098,6,0.005464,36.34,6.66,39.93,0,0.0,2,0,0
2025-01-08,LI_GB_S07_AWR_FAMILY_BUYERS_20250108,LI69397,awareness,GB,DEEPAL S07,18003,97,0.005388,31.85,5.91,573.39,0,0.0,75,6,6
2025-01-09,LI_GB_S07_AWR_EV_INTENDERS_20250109,LI96190,awareness,GB,DEEPAL S07,10986,83,0.007555,22.24,2.94,244.4,0,0.0,30,2,12
2025-01-09,LI_GB_S07_AWR_PREMIUM_AUTO_20250109,LI18822,awareness,GB,DEEPAL S07,8307,43,0.005176,21.59,4.17,179.4,0,0.0,18,1,5
2025-01-09,LI_GB_S07_AWR_ECO_CONSCIOUS_20250109,LI51302,awareness,GB,DEEPAL S07,5277,50,0.009475,33.11,3.49,174.73,0,0.0,12,0,4
2025-01-10,LI_GB_S07_AWR_CONQUEST_BMW_20250110,LI70270,awareness,GB,DEEPAL S07,15344,69,0.004497,36.22,8.06,555.82,0,0.0,40,1,5
2025-01-10,LI_GB_S07_AWR_EV_INTENDERS_20250110,LI22630,awareness,GB,DEEPAL S07,107,1,0.009346,41.84,4.5,4.5,0,0.0,0,0,0
2025-01-10,LI_GB_S07_AWR_ECO_CONSCIOUS_20250110,LI14619,awareness,GB,DEEPAL S07,1179,7,0.005937,37.08,6.25,43.75,0,0.0,1,0,0
2025-01-11,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250111,LI14795,awareness,GB,DEEPAL S07,6082,26,0.004275,44.26,10.35,269.21,0,0.0,23,0,2
2025-01-11,LI_GB_S07_AWR_CONQUEST_TESLA_20250111,LI29488,awareness,GB,DEEPAL S07,3132,27,0.008621,20.27,2.35,63.5,0,0.0,5,0,2
2025-01-11,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250111,LI83018,awareness,GB,DEEPAL S07,2922,21,0.007187,21.97,3.06,64.2,0,0.0,3,0,1
2025-01-12,LI_GB_S07_AWR_ECO_CONSCIOUS_20250112,LI65116,awareness,GB,DEEPAL S07,8846,54,0.006104,27.1,4.44,239.7,0,0.0,23,2,3
2025-01-12,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250112,LI68361,awareness,GB,DEEPAL S07,474,2,0.004219,32.84,7.8,15.59,0,0.0,2,0,0
2025-01-12,LI_GB_S07_AWR_FAMILY_BUYERS_20250112,LI42128,awareness,GB,DEEPAL S07,6649,48,0.007219,23.63,3.27,157.1,0,0.0,25,2,6
2025-01-13,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250113,LI28176,awareness,GB,DEEPAL S07,1209,9,0.007444,31.36,4.22,37.94,0,0.0,5,0,0
2025-01-13,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250113,LI95694,awareness,GB,DEEPAL S07,8421,59,0.007006,23.84,3.4,200.81,0,0.0,16,0,3
2025-01-13,LI_GB_S07_AWR_SITE_VISITORS_20250113,LI72856,awareness,GB,DEEPAL S07,13583,79,0.005816,26.13,4.49,354.99,0,0.0,64,5,5
2025-01-14,LI_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250114,LI36933,awareness,GB,DEEPAL S07,4118,14,0.0034,36.31,10.68,149.54,0,0.0,20,0,1
2025-01-14,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250114,LI92768,awareness,GB,DEEPAL S07,7812,63,0.008065,20.28,2.51,158.4,0,0.0,12,1,7
2025-01-14,LI_GB_S07_AWR_SITE_VISITORS_20250114,LI42700,awareness,GB,DEEPAL S07,10716,40,0.003733,40.99,10.98,439.31,0,0.0,28,1,2
2025-01-15,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250115,LI41955,awareness,GB,DEEPAL S07,14900,148,0.009933,29.56,2.98,440.41,0,0.0,72,6,19
2025-01-15,LI_GB_S07_AWR_ECO_CONSCIOUS_20250115,LI42242,awareness,GB,DEEPAL S07,2134,9,0.004217,30.19,7.16,64.43,0,0.0,4,0,0
2025-01-15,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250115,LI11826,awareness,GB,DEEPAL S07,8201,48,0.005853,29.59,5.06,242.7,0,0.0,20,0,4
2025-01-16,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250116,LI48326,awareness,GB,DEEPAL S07,14325,140,0.009773,35.8,3.66,512.86,0,0.0,61,5,7
2025-01-16,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250116,LI90699,awareness,GB,DEEPAL S07,4429,22,0.004967,28.95,5.83,128.25,0,0.0,9,0,2
2025-01-16,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250116,LI54935,awareness,GB,DEEPAL S07,1181,11,0.009314,23.95,2.57,28.31,0,0.0,3,0,1
2025-01-17,LI_GB_S07_AWR_EV_INTENDERS_20250117,LI34882,awareness,GB,DEEPAL S07,4630,19,0.004104,41.2,10.04,190.79,0,0.0,5,0,1
2025-01-17,LI_GB_S07_AWR_ECO_CONSCIOUS_20250117,LI95433,awareness,GB,DEEPAL S07,11395,43,0.003774,31.78,8.42,362.17,0,0.0,42,2,3
2025-01-17,LI_GB_S07_AWR_FAMILY_BUYERS_20250117,LI17486,awareness,GB,DEEPAL S07,4929,27,0.005478,24.23,4.42,119.42,0,0.0,10,0,1
2025-01-18,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250118,LI68825,awareness,GB,DEEPAL S07,1769,12,0.006783,31.21,4.6,55.22,0,0.0,4,0,1
2025-01-18,LI_GB_S07_AWR_FAMILY_BUYERS_20250118,LI35661,awareness,GB,DEEPAL S07,6272,59,0.009407,32.06,3.41,201.11,0,0.0,12,1,5
2025-01-18,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250118,LI22019,awareness,GB,DEEPAL S07,2533,15,0.005922,40.45,6.83,102.49,0,0.0,4,0,1
2025-01-19,LI_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250119,LI64966,awareness,GB,DEEPAL S07,2598,25,0.009623,30.95,3.22,80.41,0,0.0,9,0,3
2025-01-19,LI_GB_S07_AWR_SITE_VISITORS_20250119,LI96621,awareness,GB,DEEPAL S07,6589,26,0.003946,43.03,10.9,283.52,0,0.0,14,0,3
2025-01-19,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250119,LI53864,awareness,GB,DEEPAL S07,1118,6,0.005367,42.43,7.91,47.46,0,0.0,3,0,0
2025-01-20,LI_GB_S07_AWR_CONQUEST_TESLA_20250120,LI38879,awareness,GB,DEEPAL S07,291,1,0.003436,31.48,9.17,9.17,0,0.0,1,0,0
2025-01-20,LI_GB_S07_AWR_PREMIUM_AUTO_20250120,LI32827,awareness,GB,DEEPAL S07,23004,134,0.005825,28.4,4.88,653.4,0,0.0,104,9,18
2025-01-20,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250120,LI44659,awareness,GB,DEEPAL S07,655,3,0.00458,34.8,7.6,22.8,0,0.0,2,0,0
2025-01-21,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250121,LI58130,awareness,GB,DEEPAL S07,12375,117,0.009455,38.95,4.12,482.08,0,0.0,25,2,15
2025-01-21,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250121,LI46569,awareness,GB,DEEPAL S07,23,1,0.043478,24.11,0.57,0.57,0,0.0,0,0,0
2025-01-21,LI_GB_S07_AWR_ECO_CONSCIOUS_20250121,LI46286,awareness,GB,DEEPAL S07,4362,15,0.003439,26.52,7.71,115.72,0,0.0,16,1,1
2025-01-22,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250122,LI99766,awareness,GB,DEEPAL S07,5115,46,0.008993,42.88,4.77,219.35,0,0.0,8,0,5
2025-01-22,LI_GB_S07_AWR_FAMILY_BUYERS_20250122,LI32694,awareness,GB,DEEPAL S07,256,1,0.003906,28.37,7.28,7.28,0,0.0,0,0,0
2025-01-22,LI_GB_S07_AWR_CONQUEST_AUDI_20250122,LI94695,awareness,GB,DEEPAL S07,8980,62,0.006904,41.97,6.08,376.91,0,0.0,17,1,8
2025-01-23,LI_GB_S07_AWR_CONQUEST_BMW_20250123,LI88610,awareness,GB,DEEPAL S07,4538,22,0.004848,42.05,8.67,190.85,0,0.0,22,1,2
2025-01-23,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250123,LI83616,awareness,GB,DEEPAL S07,976,6,0.006148,43.4,7.07,42.4,0,0.0,2,0,0
2025-01-23,LI_GB_S07_AWR_CONQUEST_TESLA_20250123,LI59168,awareness,GB,DEEPAL S07,16921,132,0.007801,21.45,2.75,363.04,0,0.0,39,3,11
2025-01-24,LI_GB_S07_AWR_CONQUEST_BMW_20250124,LI85752,awareness,GB,DEEPAL S07,12876,46,0.003573,23.17,6.49,298.36,0,0.0,39,0,3
2025-01-24,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250124,LI40367,awareness,GB,DEEPAL S07,12442,80,0.00643,28.23,4.39,351.27,0,0.0,62,5,6
2025-01-24,LI_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250124,LI83194,awareness,GB,DEEPAL S07,3968,31,0.007812,29.23,3.74,116.0,0,0.0,14,0,3
2025-01-25,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250125,LI10225,awareness,GB,DEEPAL S07,2435,12,0.004928,35.2,7.14,85.71,0,0.0,10,0,1
2025-01-25,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250125,LI55148,awareness,GB,DEEPAL S07,1559,11,0.007056,38.79,5.5,60.5,0,0.0,3,0,1
2025-01-25,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250125,LI42786,awareness,GB,DEEPAL S07,5618,33,0.005874,40.68,6.93,228.6,0,0.0,11,0,2
2025-01-26,LI_GB_S07_AWR_PREMIUM_AUTO_20250126,LI69098,awareness,GB,DEEPAL S07,4683,17,0.00363,42.97,11.84,201.26,0,0.0,9,0,1
2025-01-26,LI_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250126,LI91269,awareness,GB,DEEPAL S07,5591,44,0.00787,26.47,3.36,147.99,0,0.0,21,1,4
2025-01-26,LI_GB_S07_AWR_EV_INTENDERS_20250126,LI35771,awareness,GB,DEEPAL S07,996,4,0.004016,30.4,7.58,30.3,0,0.0,1,0,0
2025-01-27,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250127,LI11672,awareness,GB,DEEPAL S07,9068,55,0.006065,34.08,5.62,309.06,0,0.0,17,0,7
2025-01-27,LI_GB_S07_AWR_PREMIUM_AUTO_20250127,LI19151,awareness,GB,DEEPAL S07,3398,29,0.008534,44.41,5.2,150.89,0,0.0,7,0,2
2025-01-27,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250127,LI51458,awareness,GB,DEEPAL S07,4816,30,0.006229,41.56,6.67,200.17,0,0.0,11,0,3
2025-01-28,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250128,LI13880,awareness,GB,DEEPAL S07,4368,27,0.006181,26.02,4.21,113.67,0,0.0,7,0,3
2025-01-28,LI_GB_S07_AWR_FLEET_MANAGERS_20250128,LI44279,awareness,GB,DEEPAL S07,5669,36,0.00635,26.32,4.15,149.22,0,0.0,9,0,1
2025-01-28,LI_GB_S07_AWR_EV_INTENDERS_20250128,LI56287,awareness,GB,DEEPAL S07,9593,34,0.003544,32.04,9.04,307.43,0,0.0,21,1,2
2025-01-29,LI_GB_S07_AWR_FAMILY_BUYERS_20250129,LI12975,awareness,GB,DEEPAL S07,5,1,0.2,24.92,0.13,0.13,0,0.0,0,0,0
2025-01-29,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250129,LI21327,awareness,GB,DEEPAL S07,7660,29,0.003786,38.51,10.17,295.02,0,0.0,16,0,1
2025-01-29,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250129,LI57136,awareness,GB,DEEPAL S07,12275,86,0.007006,28.1,4.01,344.98,0,0.0,20,1,8
2025-01-30,LI_GB_S07_AWR_CONQUEST_BMW_20250130,LI65712,awareness,GB,DEEPAL S07,10995,92,0.008367,40.32,4.82,443.29,0,0.0,14,1,7
2025-01-30,LI_GB_S07_AWR_FAMILY_BUYERS_20250130,LI87360,awareness,GB,DEEPAL S07,4597,45,0.009789,29.66,3.03,136.37,0,0.0,20,1,3
2025-01-30,LI_GB_S07_AWR_CONQUEST_BMW_20250130,LI77788,awareness,GB,DEEPAL S07,4676,18,0.003849,39.86,10.36,186.42,0,0.0,21,1,1
2025-01-31,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250131,LI55371,awareness,GB,DEEPAL S07,8946,65,0.007266,39.32,5.41,351.78,0,0.0,37,2,6
2025-01-31,LI_GB_S07_AWR_EV_INTENDERS_20250131,LI54319,awareness,GB,DEEPAL S07,9883,92,0.009309,26.95,2.9,266.35,0,0.0,10,0,7
2025-01-31,LI_GB_S07_AWR_CONQUEST_AUDI_20250131,LI41882,awareness,GB,DEEPAL S07,1816,18,0.009912,29.24,2.95,53.1,0,0.0,6,0,2
2025-02-01,LI_GB_S07_AWR_FAMILY_BUYERS_20250201,LI12357,awareness,GB,DEEPAL S07,2399,8,0.003335,21.27,6.38,51.04,0,0.0,7,0,0
2025-02-01,LI_GB_S07_AWR_FAMILY_BUYERS_20250201,LI66467,awareness,GB,DEEPAL S07,10029,94,0.009373,22.26,2.38,223.29,0,0.0,26,1,9
2025-02-01,LI_GB_S07_AWR_CONQUEST_TESLA_20250201,LI83852,awareness,GB,DEEPAL S07,2621,11,0.004197,26.75,6.37,70.11,0,0.0,4,0,0
2025-02-02,LI_GB_S07_AWR_SITE_VISITORS_20250202,LI20927,awareness,GB,DEEPAL S07,105,1,0.009524,34.66,3.67,3.67,0,0.0,0,0,0
2025-02-02,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250202,LI89510,awareness,GB,DEEPAL S07,4063,22,0.005415,40.42,7.47,164.29,0,0.0,19,0,1
2025-02-02,LI_GB_S07_AWR_FAMILY_BUYERS_20250202,LI54204,awareness,GB,DEEPAL S07,7180,55,0.00766,24.97,3.26,179.33,0,0.0,14,1,3
2025-02-03,LI_GB_S07_AWR_CONQUEST_AUDI_20250203,LI46860,awareness,GB,DEEPAL S07,11727,57,0.004861,36.97,7.61,433.52,0,0.0,41,2,7
2025-02-03,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250203,LI25162,awareness,GB,DEEPAL S07,7543,70,0.00928,27.22,2.93,205.29,0,0.0,32,1,4
2025-02-03,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250203,LI59541,awareness,GB,DEEPAL S07,2707,12,0.004433,37.03,8.35,100.25,0,0.0,6,0,0
2025-02-04,LI_GB_S07_AWR_FLEET_MANAGERS_20250204,LI20941,awareness,GB,DEEPAL S07,380,3,0.007895,24.82,3.15,9.45,0,0.0,1,0,0
2025-02-04,LI_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250204,LI29628,awareness,GB,DEEPAL S07,8674,70,0.00807,41.9,5.19,363.47,0,0.0,9,0,5
2025-02-04,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250204,LI18279,awareness,GB,DEEPAL S07,9567,51,0.005331,21.06,3.95,201.45,0,0.0,19,0,4
2025-02-05,LI_GB_S07_AWR_FLEET_MANAGERS_20250205,LI98432,awareness,GB,DEEPAL S07,2282,19,0.008326,41.24,4.95,94.13,0,0.0,2,0,2
2025-02-05,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250205,LI25306,awareness,GB,DEEPAL S07,15743,129,0.008194,31.16,3.8,490.63,0,0.0,56,3,11
2025-02-05,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250205,LI44805,awareness,GB,DEEPAL S07,638,5,0.007837,36.98,4.72,23.61,0,0.0,0,0,0
2025-02-06,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250206,LI59558,awareness,GB,DEEPAL S07,5383,17,0.003158,30.78,9.74,165.66,0,0.0,10,0,1
2025-02-06,LI_GB_S07_AWR_CONQUEST_BMW_20250206,LI17641,awareness,GB,DEEPAL S07,4717,42,0.008904,43.73,4.91,206.28,0,0.0,8,0,4
2025-02-06,LI_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250206,LI52690,awareness,GB,DEEPAL S07,8419,32,0.003801,36.98,9.73,311.32,0,0.0,23,0,2
2025-02-07,LI_GB_S07_AWR_LOOKALIKE_CONVERTERS_20250207,LI37749,awareness,GB,DEEPAL S07,8509,29,0.003408,39.16,11.49,333.24,0,0.0,12,1,3
2025-02-07,LI_GB_S07_AWR_EV_INTENDERS_20250207,LI40498,awareness,GB,DEEPAL S07,4091,28,0.006844,26.65,3.89,109.04,0,0.0,16,1,3
2025-02-07,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250207,LI22293,awareness,GB,DEEPAL S07,7546,70,0.009276,31.08,3.35,234.55,0,0.0,32,2,9
2025-02-08,LI_GB_S07_AWR_EV_INTENDERS_20250208,LI85173,awareness,GB,DEEPAL S07,1604,13,0.008105,25.08,3.09,40.23,0,0.0,4,0,1
2025-02-08,LI_GB_S07_AWR_ECO_CONSCIOUS_20250208,LI60820,awareness,GB,DEEPAL S07,5728,40,0.006983,35.02,5.02,200.64,0,0.0,16,1,4
2025-02-08,LI_GB_S07_AWR_ECO_CONSCIOUS_20250208,LI87249,awareness,GB,DEEPAL S07,6434,57,0.008859,27.1,3.06,174.36,0,0.0,24,1,3
2025-02-09,LI_GB_S07_AWR_EV_INTENDERS_20250209,LI36468,awareness,GB,DEEPAL S07,949,5,0.005269,31.7,6.02,30.1,0,0.0,3,0,0
2025-02-09,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250209,LI35051,awareness,GB,DEEPAL S07,2269,20,0.008814,28.45,3.23,64.57,0,0.0,8,0,1
2025-02-09,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250209,LI78486,awareness,GB,DEEPAL S07,12182,99,0.008127,21.03,2.59,256.15,0,0.0,19,1,14
2025-02-10,LI_GB_S07_AWR_ECO_CONSCIOUS_20250210,LI87559,awareness,GB,DEEPAL S07,2830,14,0.004947,43.47,8.79,123.04,0,0.0,4,0,1
2025-02-10,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250210,LI37095,awareness,GB,DEEPAL S07,18480,109,0.005898,20.74,3.52,383.3,0,0.0,35,2,16
2025-02-10,LI_GB_S07_AWR_PREMIUM_AUTO_20250210,LI40916,awareness,GB,DEEPAL S07,2420,7,0.002893,28.44,9.84,68.85,0,0.0,7,0,0
2025-02-11,LI_GB_S07_AWR_CONQUEST_AUDI_20250211,LI27270,awareness,GB,DEEPAL S07,11544,44,0.003812,25.43,6.67,293.55,0,0.0,17,0,5
2025-02-11,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250211,LI65154,awareness,GB,DEEPAL S07,7619,62,0.008138,44.74,5.5,340.95,0,0.0,33,1,5
2025-02-11,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250211,LI59396,awareness,GB,DEEPAL S07,3664,26,0.007096,28.92,4.08,105.96,0,0.0,8,0,2
2025-02-12,LI_GB_S07_AWR_FAMILY_BUYERS_20250212,LI46741,awareness,GB,DEEPAL S07,7265,46,0.006332,33.9,5.35,246.28,0,0.0,19,1,4
2025-02-12,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250212,LI32033,awareness,GB,DEEPAL S07,4188,13,0.003104,32.05,10.33,134.24,0,0.0,16,0,1
2025-02-12,LI_GB_S07_AWR_CONQUEST_AUDI_20250212,LI38777,awareness,GB,DEEPAL S07,15682,50,0.003188,22.69,7.12,355.85,0,0.0,42,2,4
2025-02-13,LI_GB_S07_AWR_FAMILY_BUYERS_20250213,LI47521,awareness,GB,DEEPAL S07,6142,23,0.003745,27.93,7.46,171.55,0,0.0,28,2,1
2025-02-13,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250213,LI81697,awareness,GB,DEEPAL S07,19999,98,0.0049,25.91,5.29,518.18,0,0.0,92,7,13
2025-02-13,LI_GB_S07_AWR_FLEET_MANAGERS_20250213,LI70697,awareness,GB,DEEPAL S07,1056,5,0.004735,24.89,5.26,26.29,0,0.0,2,0,0
2025-02-14,LI_GB_S07_AWR_PREMIUM_AUTO_20250214,LI41695,awareness,GB,DEEPAL S07,9980,96,0.009619,20.94,2.18,208.96,0,0.0,49,2,5
2025-02-14,LI_GB_S07_AWR_ENGAGED_VIEWERS_20250214,LI78793,awareness,GB,DEEPAL S07,6325,50,0.007905,42.22,5.34,267.07,0,0.0,9,0,4
2025-02-14,LI_GB_S07_AWR_ECO_CONSCIOUS_20250214,LI84949,awareness,GB,DEEPAL S07,4871,17,0.00349,23.59,6.76,114.92,0,0.0,21,0,2
2025-02-15,LI_GB_S07_AWR_FLEET_MANAGERS_20250215,LI82992,awareness,GB,DEEPAL S07,3635,32,0.008803,39.07,4.44,142.04,0,0.0,14,0,1
2025-02-15,LI_GB_S07_AWR_CONQUEST_BMW_20250215,LI69306,awareness,GB,DEEPAL S07,2727,18,0.006601,36.34,5.51,99.13,0,0.0,12,0,1
2025-02-15,LI_GB_S07_AWR_PREMIUM_AUTO_20250215,LI41589,awareness,GB,DEEPAL S07,3593,16,0.004453,30.94,6.95,111.2,0,0.0,12,0,1
2025-02-16,LI_GB_S07_AWR_ECO_CONSCIOUS_20250216,LI76568,awareness,GB,DEEPAL S07,7316,71,0.009705,20.27,2.09,148.28,0,0.0,32,2,5
2025-02-16,LI_GB_S07_AWR_PREMIUM_AUTO_20250216,LI43882,awareness,GB,DEEPAL S07,2520,23,0.009127,35.01,3.84,88.23,0,0.0,9,0,2
2025-02-16,LI_GB_S07_AWR_CONQUEST_TESLA_20250216,LI81706,awareness,GB,DEEPAL S07,3379,27,0.007991,25.45,3.19,86.01,0,0.0,12,1,2
2025-02-17,LI_GB_S07_AWR_CONQUEST_TESLA_20250217,LI18351,awareness,GB,DEEPAL S07,9812,92,0.009376,32.76,3.49,321.41,0,0.0,10,0,12
2025-02-17,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250217,LI84062,awareness,GB,DEEPAL S07,4008,33,0.008234,43.69,5.31,175.14,0,0.0,12,1,1
2025-02-17,LI_GB_S07_AWR_CONQUEST_AUDI_20250217,LI52962,awareness,GB,DEEPAL S07,3026,19,0.006279,27.35,4.36,82.8,0,0.0,13,0,1
2025-02-18,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250218,LI90988,awareness,GB,DEEPAL S07,12012,67,0.005578,32.69,5.86,392.71,0,0.0,42,2,7
2025-02-18,LI_GB_S07_AWR_YOUNG_PROFESSIONALS_20250218,LI58091,awareness,GB,DEEPAL S07,3539,33,0.009325,23.81,2.55,84.28,0,0.0,5,0,4
2025-02-18,LI_GB_S07_AWR_LUXURY_LIFESTYLE_20250218,LI33548,awareness,GB,DEEPAL S07,4099,20,0.004879,36.12,7.4,148.09,0,0.0,18,1,1
2025-02-19,LI_GB_S07_AWR_CONQUEST_TESLA_20250219,LI50994,awareness,GB,DEEPAL S07,5083,20,0.003935,38.21,9.71,194.27,0,0.0,13,0,1
2025-02-19,LI_GB_S07_AWR_CONFIGURATOR_USERS_20250219,LI26743,awareness,GB,DEEPAL S07,17270,93,0.005385,28.2,5.24,487.06,0,0.0,33,1,13
2025-02-19,LI_GB_S07_AWR_TECH_ENTHUSIASTS_20250219,LI77522,awareness,GB,DEEPAL S07,2901,13,0.004481,29.33,6.54,85.08,0,0.0,10,0,1
