lead_id,created_date,source,model,dealer_id,stage,stage_updated_date,market,finance_type,is_qualified
LD000071,2025-09-10,configurator,DEEPAL S07,DLR024,LOST,2025-09-12,GB,,False
LD000072,2025-09-11,configurator,DEEPAL S07,DLR041,LOST,2025-10-01,GB,,False
LD000073,2025-09-11,configurator,DEEPAL S07,DLR001,QUALIFIED,2025-09-23,GB,,True
LD000074,2025-09-12,configurator,DEEPAL S07,DLR025,QUALIFIED,2025-10-04,GB,,True
LD000075,2025-09-12,configurator,AVATR 12,DLR019,LOST,2025-10-19,GB,,False
LD000076,2025-09-12,configurator,DEEPAL S07,DLR025,LOST,2025-09-25,GB,,False
LD000077,2025-09-12,configurator,DEEPAL S07,DLR002,QUALIFIED,2025-09-18,DE,,True
LD000078,2025-09-12,configurator,DEEPAL S07,DLR037,CONTACTED,2025-09-22,GB,,False
LD000079,2025-09-12,configurator,AVATR 12,DLR049,LOST,2025-09-24,GB,,False
LD000080,2025-09-12,configurator,DEEPAL S07,DLR025,TD_BOOKED,2025-10-03,GB,,True
LD000081,2025-09-12,configurator,DEEPAL S07,DLR002,QUALIFIED,2025-09-24,DE,,True
LD000082,2025-09-12,configurator,DEEPAL S07,DLR002,LOST,2025-10-09,GB,,False
LD000083,2025-09-13,configurator,DEEPAL S07,DLR024,NEW,2025-09-13,GB,,False
LD000084,2025-09-13,configurator,AVATR 12,DLR021,LOST,2025-10-10,GB,,False
LD000085,2025-09-13,configurator,DEEPAL S07,DLR021,LOST,2025-09-19,FR,,False
LD000086,2025-09-13,configurator,DEEPAL S07,DLR002,LOST,2025-09-30,DE,,False
LD000087,2025-09-13,configurator,DEEPAL S07,DLR002,TD_BOOKED,2025-10-04,GB,,True
LD000088,2025-09-13,configurator,AVATR 12,DLR016,CONTACTED,2025-09-23,GB,,False
LD000089,2025-09-13,configurator,DEEPAL S07,DLR050,LOST,2025-09-23,GB,,False
LD000090,2025-09-13,configurator,AVATR 12,DLR012,LOST,2025-10-21,FR,,False
LD000091,2025-09-13,configurator,DEEPAL S07,DLR019,NEGOTIATION,2025-10-23,DE,PCP,True
LD000092,2025-09-13,configurator,DEEPAL S07,DLR027,NEW,2025-09-13,DE,,False
LD000093,2025-09-14,configurator,DEEPAL S07,DLR027,LOST,2025-10-01,GB,,False
LD000094,2025-09-14,configurator,DEEPAL S07,DLR002,LOST,2025-09-26,GB,,False
LD000095,2025-09-14,configurator,DEEPAL S07,DLR021,LOST,2025-09-30,GB,,False
LD000096,2025-09-14,configurator,DEEPAL S07,DLR016,LOST,2025-09-20,GB,,False
LD000097,2025-09-14,configurator,DEEPAL S07,DLR050,LOST,2025-09-19,GB,,False
LD000098,2025-09-14,configurator,AVATR 12,DLR016,LOST,2025-10-02,GB,,False
LD000099,2025-09-14,configurator,DEEPAL S07,DLR027,LOST,2025-10-06,GB,,False
LD000100,2025-09-14,configurator,AVATR 12,DLR027,CONTACTED,2025-09-16,DE,,False
LD000101,2025-09-14,configurator,AVATR 12,DLR027,QUALIFIED,2025-09-27,GB,,True
LD000102,2025-09-15,configurator,DEEPAL S07,DLR001,LOST,2025-09-19,GB,,False
LD000103,2025-09-15,configurator,DEEPAL S07,DLR016,NEW,2025-09-15,FR,,False
LD000104,2025-09-15,configurator,DEEPAL S07,DLR024,CONTACTED,2025-09-19,GB,,False
LD000105,2025-09-15,configurator,DEEPAL S07,DLR049,LOST,2025-09-19,FR,,False
LD000106,2025-09-15,configurator,AVATR 12,DLR045,TD_BOOKED,2025-10-13,FR,,True
LD000107,2025-09-16,configurator,DEEPAL S07,DLR049,CONTACTED,2025-09-18,DE,,False
LD000108,2025-09-16,configurator,AVATR 12,DLR021,LOST,2025-09-17,FR,,False
LD000109,2025-09-16,configurator,DEEPAL S07,DLR037,LOST,2025-09-30,GB,,False
LD000110,2025-09-16,configurator,AVATR 12,DLR024,QUALIFIED,2025-09-21,GB,,True
LD000111,2025-09-16,configurator,DEEPAL S07,DLR045,LOST,2025-09-19,DE,,False
LD000112,2025-09-16,configurator,AVATR 12,DLR037,CONTACTED,2025-09-24,FR,,False
LD000113,2025-09-17,configurator,DEEPAL S07,DLR001,LOST,2025-10-13,FR,,False
LD000114,2025-09-17,configurator,DEEPAL S07,DLR011,QUALIFIED,2025-09-22,DE,,True
LD000115,2025-09-17,configurator,DEEPAL S07,DLR019,NEW,2025-09-17,GB,,False
LD000116,2025-09-17,configurator,DEEPAL S07,DLR037,CONTACTED,2025-09-20,DE,,False
LD000117,2025-09-17,configurator,DEEPAL S07,DLR025,NEW,2025-09-17,DE,,False
LD000118,2025-09-17,configurator,DEEPAL S07,DLR049,NEW,2025-09-17,DE,,False
LD000119,2025-09-17,configurator,DEEPAL S07,DLR027,TD_BOOKED,2025-10-08,GB,,True
LD000120,2025-09-17,configurator,DEEPAL S07,DLR037,NEW,2025-09-17,GB,,False
LD000121,2025-09-17,configurator,DEEPAL S07,DLR050,TD_BOOKED,2025-10-14,DE,,True
LD000122,2025-09-18,configurator,AVATR 12,DLR016,NEW,2025-09-18,DE,,False
LD000123,2025-09-18,configurator,AVATR 12,DLR045,NEW,2025-09-18,GB,,False
LD000124,2025-09-18,configurator,AVATR 12,DLR002,QUALIFIED,2025-09-24,GB,,True
LD000125,2025-09-18,configurator,DEEPAL S07,DLR037,TD_BOOKED,2025-10-01,GB,,True
LD000126,2025-09-18,configurator,DEEPAL S07,DLR011,NEW,2025-09-18,GB,,False
LD000127,2025-09-18,configurator,DEEPAL S07,DLR049,LOST,2025-10-03,GB,,False
LD000128,2025-09-18,configurator,DEEPAL S07,DLR012,TD_COMPLETED,2025-10-06,GB,,True
LD000129,2025-09-18,configurator,AVATR 12,DLR049,TD_COMPLETED,2025-10-13,DE,,True
LD000130,2025-09-19,configurator,AVATR 12,DLR001,CONTACTED,2025-09-21,GB,,False
LD000131,2025-09-19,configurator,DEEPAL S07,DLR049,LOST,2025-09-20,DE,,False
LD000132,2025-09-19,configurator,DEEPAL S07,DLR050,LOST,2025-09-24,GB,,False
LD000133,2025-09-19,configurator,DEEPAL S07,DLR012,NEW,2025-09-19,FR,,False
LD000134,2025-09-19,configurator,DEEPAL S07,DLR045,QUALIFIED,2025-10-07,GB,,True
LD000135,2025-09-19,configurator,AVATR 12,DLR027,QUALIFIED,2025-09-30,GB,,True
LD000136,2025-09-19,configurator,DEEPAL S07,DLR002,QUALIFIED,2025-10-05,DE,,True
LD000137,2025-09-20,configurator,DEEPAL S07,DLR041,QUALIFIED,2025-10-07,GB,,True
LD000138,2025-09-20,configurator,AVATR 12,DLR012,NEW,2025-09-20,GB,,False
LD000139,2025-09-20,configurator,AVATR 12,DLR011,CONTACTED,2025-09-26,DE,,False
LD000140,2025-09-20,configurator,AVATR 12,DLR045,LOST,2025-09-21,DE,,False
LD000141,2025-09-21,configurator,DEEPAL S07,DLR041,CONTACTED,2025-09-22,GB,,False
LD000142,2025-09-21,configurator,DEEPAL S07,DLR041,CONTACTED,2025-09-28,DE,,False
LD000143,2025-09-21,configurator,DEEPAL S07,DLR041,LOST,2025-09-29,DE,,False
LD000144,2025-09-21,configurator,DEEPAL S07,DLR016,LOST,2025-09-24,GB,,False
LD000145,2025-09-21,configurator,DEEPAL S07,DLR049,LOST,2025-10-09,GB,,False
LD000146,2025-09-21,configurator,DEEPAL S07,DLR030,LOST,2025-10-12,GB,,False
LD000147,2025-09-21,configurator,DEEPAL S07,DLR016,NEW,2025-09-21,GB,,False
LD000148,2025-09-21,configurator,DEEPAL S07,DLR049,TD_COMPLETED,2025-10-16,GB,,True
LD000149,2025-09-21,configurator,DEEPAL S07,DLR041,LOST,2025-10-11,GB,,False
LD000150,2025-09-21,configurator,AVATR 12,DLR037,CONTACTED,2025-09-23,GB,,False
LD000151,2025-09-21,configurator,DEEPAL S07,DLR012,LOST,2025-10-15,DE,,False
LD000152,2025-09-22,configurator,DEEPAL S07,DLR037,CONTACTED,2025-09-30,GB,,False
LD000153,2025-09-22,configurator,DEEPAL S07,DLR037,LOST,2025-09-26,GB,,False
LD000154,2025-09-22,configurator,DEEPAL S07,DLR011,LOST,2025-09-30,GB,,False
LD000155,2025-09-22,configurator,DEEPAL S07,DLR037,CONTACTED,2025-10-01,DE,,False
LD000156,2025-09-22,configurator,DEEPAL S07,DLR011,LOST,2025-10-02,GB,,False
LD000157,2025-09-22,configurator,DEEPAL S07,DLR027,LOST,2025-10-15,GB,,False
LD000158,2025-09-22,configurator,AVATR 12,DLR036,LOST,2025-10-15,GB,,False
LD000159,2025-09-23,configurator,DEEPAL S07,DLR012,LOST,2025-10-04,GB,,False
LD000160,2025-09-23,configurator,AVATR 12,DLR024,TD_COMPLETED,2025-10-21,DE,,True
LD000161,2025-09-23,configurator,DEEPAL S07,DLR012,CONTACTED,2025-10-05,GB,,False
LD000162,2025-09-23,configurator,DEEPAL S07,DLR012,LOST,2025-10-08,FR,,False
LD000163,2025-09-23,configurator,DEEPAL S07,DLR036,QUALIFIED,2025-09-30,GB,,True
LD000164,2025-09-23,configurator,DEEPAL S07,DLR002,QUALIFIED,2025-10-17,GB,,True
LD000165,2025-09-24,configurator,DEEPAL S07,DLR011,QUALIFIED,2025-10-09,DE,,True
LD000166,2025-09-24,configurator,DEEPAL S07,DLR001,NEW,2025-09-24,DE,,False
LD000167,2025-09-24,configurator,DEEPAL S07,DLR030,TD_BOOKED,2025-10-03,GB,,True
LD000168,2025-09-24,configurator,DEEPAL S07,DLR002,CONTACTED,2025-10-01,GB,,False
LD000169,2025-09-24,configurator,DEEPAL S07,DLR027,LOST,2025-09-28,GB,,False
LD000170,2025-09-24,configurator,AVATR 12,DLR001,QUALIFIED,2025-10-11,GB,,True
LD000171,2025-09-25,configurator,DEEPAL S07,DLR021,LOST,2025-11-01,DE,,False
LD000172,2025-09-26,configurator,AVATR 12,DLR027,LOST,2025-10-11,DE,,False
LD000173,2025-09-26,configurator,DEEPAL S07,DLR021,LOST,2025-10-06,GB,,False
LD000174,2025-09-26,configurator,DEEPAL S07,DLR049,LOST,2025-10-22,GB,,False
LD000175,2025-09-26,configurator,DEEPAL S07,DLR012,LOST,2025-10-20,GB,,False
LD000176,2025-09-26,configurator,AVATR 12,DLR049,CONTACTED,2025-10-01,GB,,False
LD000177,2025-09-26,configurator,DEEPAL S07,DLR012,LOST,2025-09-29,GB,,False
LD000178,2025-09-27,configurator,DEEPAL S07,DLR050,CONTACTED,2025-10-02,DE,,False
LD000179,2025-09-27,configurator,DEEPAL S07,DLR037,QUALIFIED,2025-10-09,DE,,True
LD000180,2025-09-27,configurator,DEEPAL S07,DLR037,QUALIFIED,2025-10-05,GB,,True
LD000181,2025-09-27,configurator,DEEPAL S07,DLR024,NEW,2025-09-27,GB,,False
LD000182,2025-09-27,configurator,DEEPAL S07,DLR036,CONTACTED,2025-10-04,GB,,False
LD000183,2025-09-27,configurator,AVATR 12,DLR036,QUALIFIED,2025-10-15,GB,,True
LD000184,2025-09-28,configurator,AVATR 12,DLR045,CONTACTED,2025-10-01,GB,,False
LD000185,2025-09-28,configurator,DEEPAL S07,DLR002,NEW,2025-09-28,GB,,False
LD000186,2025-09-28,configurator,DEEPAL S07,DLR019,LOST,2025-10-09,FR,,False
LD000187,2025-09-28,configurator,DEEPAL S07,DLR025,LOST,2025-10-14,GB,,False
LD000188,2025-09-28,configurator,DEEPAL S07,DLR041,LOST,2025-10-13,GB,,False
LD000189,2025-09-28,configurator,DEEPAL S07,DLR037,LOST,2025-10-02,GB,,False
LD000190,2025-09-28,configurator,AVATR 12,DLR028,NEW,2025-09-28,FR,,False
LD000191,2025-09-28,configurator,DEEPAL S07,DLR001,NEW,2025-09-28,DE,,False
LD000192,2025-09-28,configurator,DEEPAL S07,DLR045,QUALIFIED,2025-10-09,GB,,True
LD000193,2025-09-29,configurator,DEEPAL S07,DLR027,LOST,2025-10-09,GB,,False
LD000194,2025-09-29,configurator,AVATR 12,DLR016,CONTACTED,2025-10-05,DE,,False
LD000195,2025-09-29,configurator,DEEPAL S07,DLR030,NEW,2025-09-29,GB,,False
LD000196,2025-09-29,configurator,DEEPAL S07,DLR001,LOST,2025-10-05,GB,,False
LD000197,2025-09-29,configurator,DEEPAL S07,DLR011,LOST,2025-10-12,GB,,False
LD000198,2025-09-29,configurator,AVATR 12,DLR050,LOST,2025-10-09,GB,,False
LD000199,2025-09-30,configurator,AVATR 12,DLR022,LOST,2025-10-17,GB,,False
LD000200,2025-09-30,configurator,DEEPAL S07,DLR021,QUALIFIED,2025-10-13,GB,,True
LD000201,2025-09-30,configurator,AVATR 12,DLR032,QUALIFIED,2025-10-15,GB,,True
LD000202,2025-09-30,configurator,DEEPAL S07,DLR028,CONTACTED,2025-10-12,GB,,False
LD000203,2025-09-30,configurator,DEEPAL S07,DLR021,CONTACTED,2025-10-01,GB,,False
LD000204,2025-09-30,configurator,AVATR 12,DLR015,TD_BOOKED,2025-10-20,GB,,True
LD000205,2025-10-01,configurator,DEEPAL S07,DLR025,LOST,2025-10-05,GB,,False
LD000206,2025-10-01,configurator,DEEPAL S07,DLR045,LOST,2025-10-27,GB,,False
LD000207,2025-10-01,configurator,DEEPAL S07,DLR050,NEW,2025-10-01,DE,,False
LD000208,2025-10-01,configurator,DEEPAL S07,DLR030,LOST,2025-10-17,GB,,False
LD000209,2025-10-02,configurator,DEEPAL S07,DLR016,LOST,2025-10-11,DE,,False
LD000210,2025-10-02,configurator,AVATR 12,DLR028,TD_BOOKED,2025-11-01,DE,,True
LD000211,2025-10-02,configurator,DEEPAL S07,DLR027,CONTACTED,2025-10-14,GB,,False
LD000212,2025-10-02,configurator,DEEPAL S07,DLR001,CONTACTED,2025-10-08,GB,,False
LD000213,2025-10-02,configurator,AVATR 12,DLR015,QUALIFIED,2025-10-13,GB,,True
LD000214,2025-10-02,configurator,DEEPAL S07,DLR040,LOST,2025-10-23,GB,,False
LD000215,2025-10-02,configurator,DEEPAL S07,DLR002,NEW,2025-10-02,GB,,False
LD000216,2025-10-03,configurator,DEEPAL S07,DLR036,CONTACTED,2025-10-05,GB,,False
LD000217,2025-10-03,configurator,AVATR 12,DLR022,LOST,2025-10-27,FR,,False
LD000218,2025-10-03,configurator,AVATR 11,DLR037,TD_BOOKED,2025-10-15,DE,,True
LD000219,2025-10-03,configurator,DEEPAL S07,DLR001,QUALIFIED,2025-10-21,GB,,True
LD000220,2025-10-03,configurator,DEEPAL S07,DLR013,QUALIFIED,2025-10-25,GB,,True
LD000221,2025-10-03,configurator,DEEPAL S07,DLR041,LOST,2025-10-12,GB,,False
LD000222,2025-10-04,configurator,DEEPAL S07,DLR040,QUALIFIED,2025-10-12,GB,,True
LD000223,2025-10-04,configurator,DEEPAL S07,DLR040,LOST,2025-10-13,GB,,False
LD000224,2025-10-04,configurator,AVATR 11,DLR049,LOST,2025-10-13,GB,,False
LD000225,2025-10-04,configurator,DEEPAL S07,DLR030,TD_COMPLETED,2025-11-03,GB,,True
LD000226,2025-10-04,configurator,DEEPAL S07,DLR050,CONTACTED,2025-10-06,DE,,False
LD000227,2025-10-05,configurator,DEEPAL S07,DLR030,CONTACTED,2025-10-11,GB,,False
LD000228,2025-10-05,configurator,AVATR 12,DLR015,NEW,2025-10-05,GB,,False
LD000229,2025-10-05,configurator,DEEPAL S07,DLR030,TD_COMPLETED,2025-10-29,DE,,True
LD000230,2025-10-05,configurator,AVATR 12,DLR015,NEW,2025-10-05,GB,,False
LD000231,2025-10-06,configurator,AVATR 12,DLR037,TD_BOOKED,2025-11-01,GB,,True
LD000232,2025-10-06,configurator,DEEPAL S07,DLR050,TD_BOOKED,2025-10-24,GB,,True
LD000233,2025-10-07,configurator,DEEPAL S07,DLR028,NEW,2025-10-07,FR,,False
LD000234,2025-10-07,configurator,DEEPAL S07,DLR040,LOST,2025-10-26,GB,,False
LD000235,2025-10-07,configurator,AVATR 11,DLR049,NEW,2025-10-07,DE,,False
LD000236,2025-10-08,configurator,DEEPAL S07,DLR022,CONTACTED,2025-10-19,GB,,False
LD000237,2025-10-09,configurator,AVATR 12,DLR024,LOST,2025-10-26,GB,,False
LD000238,2025-10-10,configurator,DEEPAL S07,DLR049,QUALIFIED,2025-10-18,GB,,True
LD000239,2025-10-10,configurator,DEEPAL S07,DLR050,TD_BOOKED,2025-11-08,GB,,True
LD000240,2025-10-10,configurator,DEEPAL S07,DLR032,CONTACTED,2025-10-18,GB,,False
LD000241,2025-10-10,configurator,DEEPAL S07,DLR028,LOST,2025-10-22,GB,,False
LD000242,2025-10-10,configurator,DEEPAL S07,DLR001,QUALIFIED,2025-11-02,GB,,True
LD000243,2025-10-10,configurator,DEEPAL S07,DLR011,QUALIFIED,2025-10-24,GB,,True
LD000244,2025-10-10,configurator,DEEPAL S07,DLR045,LOST,2025-10-23,GB,,False
LD000245,2025-10-10,configurator,AVATR 12,DLR035,LOST,2025-11-03,GB,,False
LD000246,2025-10-10,configurator,DEEPAL S07,DLR022,LOST,2025-10-23,GB,,False
LD000247,2025-10-11,configurator,DEEPAL S07,DLR045,LOST,2025-10-27,GB,,False
LD000248,2025-10-11,configurator,DEEPAL S07,DLR045,QUALIFIED,2025-10-25,GB,,True
LD000249,2025-10-11,configurator,DEEPAL S07,DLR017,LOST,2025-10-20,GB,,False
LD000250,2025-10-11,configurator,DEEPAL S07,DLR012,CONTACTED,2025-10-18,DE,,False
LD000251,2025-10-11,configurator,DEEPAL S07,DLR024,NEW,2025-10-11,GB,,False
LD000252,2025-10-11,configurator,AVATR 12,DLR001,LOST,2025-11-04,GB,,False
LD000253,2025-10-12,configurator,DEEPAL S07,DLR012,LOST,2025-10-18,GB,,False
LD000254,2025-10-12,configurator,DEEPAL S07,DLR028,LOST,2025-10-25,GB,,False
LD000255,2025-10-12,configurator,DEEPAL S07,DLR036,NEW,2025-10-12,FR,,False
LD000256,2025-10-13,configurator,DEEPAL S07,DLR001,CONTACTED,2025-10-14,GB,,False
LD000257,2025-10-13,configurator,DEEPAL S07,DLR037,NEW,2025-10-13,GB,,False
LD000258,2025-10-13,configurator,DEEPAL S07,DLR041,LOST,2025-11-06,GB,,False
LD000259,2025-10-13,configurator,DEEPAL S07,DLR040,QUALIFIED,2025-10-29,DE,,True
LD000260,2025-10-13,configurator,DEEPAL S07,DLR021,LOST,2025-11-04,GB,,False
LD000261,2025-10-14,configurator,AVATR 12,DLR025,CONTACTED,2025-10-21,GB,,False
LD000262,2025-10-14,configurator,DEEPAL S07,DLR036,TD_COMPLETED,2025-11-17,GB,,True
LD000263,2025-10-14,configurator,DEEPAL S07,DLR003,QUALIFIED,2025-10-28,FR,,True
LD000264,2025-10-14,configurator,DEEPAL S07,DLR030,CONTACTED,2025-10-15,GB,,False
LD000265,2025-10-14,configurator,AVATR 11,DLR002,NEGOTIATION,2025-11-24,GB,PCP,True
LD000266,2025-10-15,configurator,DEEPAL S07,DLR013,NEW,2025-10-15,DE,,False
LD000267,2025-10-15,configurator,DEEPAL S07,DLR024,LOST,2025-10-19,DE,,False
LD000268,2025-10-15,configurator,AVATR 11,DLR022,LOST,2025-11-14,GB,,False
LD000269,2025-10-15,configurator,DEEPAL S07,DLR022,LOST,2025-10-22,DE,,False
LD000270,2025-10-15,configurator,DEEPAL S07,DLR032,LOST,2025-10-21,GB,,False
LD000271,2025-10-15,configurator,DEEPAL S07,DLR041,NEW,2025-10-15,GB,,False
LD000272,2025-10-16,configurator,DEEPAL S07,DLR030,LOST,2025-11-21,GB,,False
LD000273,2025-10-16,configurator,DEEPAL S07,DLR011,LOST,2025-11-01,GB,,False
LD000274,2025-10-16,configurator,DEEPAL S07,DLR025,TD_BOOKED,2025-10-27,DE,,True
LD000275,2025-10-16,configurator,AVATR 12,DLR021,CONTACTED,2025-10-24,GB,,False
LD000276,2025-10-16,configurator,DEEPAL S07,DLR049,CONTACTED,2025-10-18,GB,,False
LD000277,2025-10-16,configurator,DEEPAL S07,DLR050,TD_BOOKED,2025-11-03,GB,,True
LD000278,2025-10-17,configurator,AVATR 12,DLR002,CONTACTED,2025-10-24,GB,,False
LD000279,2025-10-17,configurator,DEEPAL S07,DLR024,LOST,2025-11-30,GB,,False
LD000280,2025-10-18,configurator,AVATR 12,DLR024,LOST,2025-10-30,GB,,False
LD000281,2025-10-18,configurator,AVATR 11,DLR022,LOST,2025-11-08,GB,,False
LD000282,2025-10-18,configurator,AVATR 12,DLR003,TD_COMPLETED,2025-11-12,GB,,True
LD000283,2025-10-18,configurator,DEEPAL S07,DLR022,NEW,2025-10-18,GB,,False
LD000284,2025-10-18,configurator,DEEPAL S07,DLR045,NEW,2025-10-18,GB,,False
LD000285,2025-10-18,configurator,DEEPAL S07,DLR022,LOST,2025-10-27,DE,,False
LD000286,2025-10-18,configurator,DEEPAL S07,DLR037,NEW,2025-10-18,GB,,False
LD000287,2025-10-19,configurator,DEEPAL S07,DLR024,QUALIFIED,2025-11-02,GB,,True
LD000288,2025-10-19,configurator,DEEPAL S07,DLR021,CONTACTED,2025-10-20,GB,,False
