date,channel,device,sessions,users,new_users,bounce_rate,avg_session_duration_sec,pages_per_session,configurator_starts
2025-01-07,display,desktop,169,130,84,0.6783,61.9,4.24,8
2025-01-07,display,tablet,38,35,22,0.5161,80.6,2.36,0
2025-01-07,paid_search,mobile,779,687,508,0.511,180.9,3.04,31
2025-01-07,paid_search,desktop,469,403,238,0.4353,80.8,4.75,13
2025-01-07,paid_search,tablet,140,109,83,0.3299,152.3,3.66,3
2025-01-07,email,mobile,181,136,113,0.6219,222.2,3.34,5
2025-01-07,email,desktop,135,107,62,0.6626,181.0,3.73,6
2025-01-07,email,tablet,44,34,27,0.3129,246.5,1.74,1
2025-01-07,organic_search,mobile,927,734,635,0.3657,122.8,2.31,36
2025-01-07,organic_search,desktop,593,450,391,0.5674,190.2,1.88,17
2025-01-07,organic_search,tablet,166,146,108,0.3287,268.6,4.83,6
2025-01-07,direct,mobile,536,458,271,0.3463,215.9,4.32,21
2025-01-07,direct,desktop,376,304,230,0.3066,83.6,4.31,16
2025-01-07,direct,tablet,109,99,63,0.637,63.8,2.59,3
2025-01-08,organic_search,desktop,332,279,188,0.5519,132.0,2.18,14
2025-01-08,organic_search,tablet,69,62,41,0.6428,189.0,4.04,2
2025-01-08,organic_search,mobile,574,461,245,0.3809,127.0,1.93,27
2025-01-08,display,desktop,103,94,56,0.5018,202.6,3.59,4
2025-01-08,display,tablet,36,28,15,0.5446,76.3,3.41,0
2025-01-08,display,mobile,160,126,77,0.302,155.6,2.32,3
2025-01-08,social_organic,desktop,100,93,63,0.3303,61.4,1.63,3
2025-01-08,social_organic,tablet,26,23,17,0.4461,46.2,4.36,1
2025-01-08,social_organic,mobile,171,154,79,0.3071,62.0,3.27,4
2025-01-08,referral,desktop,76,65,52,0.4285,256.1,4.68,2
2025-01-08,referral,tablet,24,22,14,0.6074,163.3,4.37,1
2025-01-08,referral,mobile,85,80,57,0.5581,276.9,4.29,2
2025-01-08,direct,desktop,187,169,110,0.5669,170.6,4.41,8
2025-01-08,direct,tablet,67,57,44,0.5911,166.4,4.75,1
2025-01-08,direct,mobile,277,225,170,0.463,103.8,2.92,7
2025-01-08,social_paid,desktop,184,154,80,0.3352,113.7,2.93,6
2025-01-08,social_paid,tablet,64,56,40,0.56,66.5,1.78,2
2025-01-08,social_paid,mobile,358,320,214,0.5631,46.0,2.19,14
2025-01-09,direct,desktop,316,285,200,0.4923,291.1,3.03,12
2025-01-09,direct,tablet,82,72,39,0.5442,204.3,2.1,1
2025-01-09,social_paid,desktop,328,280,161,0.3383,95.4,2.17,15
2025-01-09,social_paid,tablet,96,81,39,0.5866,50.0,2.83,3
2025-01-09,social_organic,desktop,147,113,80,0.5836,62.8,3.46,7
2025-01-09,social_organic,tablet,45,42,25,0.443,88.7,2.61,1
2025-01-09,organic_search,desktop,473,374,238,0.407,103.1,2.93,12
2025-01-09,organic_search,tablet,141,120,77,0.4809,71.5,2.14,5
2025-01-09,paid_search,desktop,432,349,188,0.478,293.1,3.99,9
2025-01-09,paid_search,tablet,131,115,85,0.5554,267.1,3.57,5
2025-01-09,email,desktop,109,94,54,0.3252,125.8,3.74,5
2025-01-09,email,tablet,37,30,18,0.3471,236.2,3.47,0
2025-01-10,social_organic,mobile,532,423,298,0.6647,60.0,3.57,11
2025-01-10,social_organic,tablet,112,85,76,0.3228,35.2,4.78,5
2025-01-10,paid_search,mobile,1417,1282,832,0.6996,169.5,2.4,32
2025-01-10,paid_search,tablet,259,214,116,0.4718,290.3,1.86,9
2025-01-10,display,mobile,536,469,316,0.326,239.2,2.51,15
2025-01-10,display,tablet,98,78,42,0.3601,136.8,3.13,2
2025-01-10,email,mobile,343,296,142,0.5119,120.0,1.64,7
2025-01-10,email,tablet,75,64,41,0.4525,114.6,4.06,2
2025-01-10,referral,mobile,353,314,212,0.6244,74.3,1.53,17
2025-01-10,referral,tablet,71,59,35,0.5493,213.3,2.37,2
2025-01-11,social_organic,mobile,335,279,137,0.5949,62.7,4.72,11
2025-01-11,social_organic,tablet,64,48,32,0.6648,41.3,2.05,1
2025-01-11,referral,mobile,211,164,93,0.3076,226.9,4.78,10
2025-01-11,referral,tablet,44,33,26,0.4683,180.1,4.51,1
2025-01-11,organic_search,mobile,1054,965,450,0.4555,180.5,3.67,30
2025-01-11,organic_search,tablet,203,185,123,0.5305,71.4,3.24,6
2025-01-11,direct,mobile,638,554,389,0.3039,233.6,3.6,14
2025-01-11,direct,tablet,117,88,48,0.42,143.0,2.66,5
2025-01-11,display,mobile,283,235,193,0.6501,171.1,2.87,8
2025-01-11,display,tablet,59,51,25,0.3799,268.8,4.83,1
2025-01-11,paid_search,mobile,844,664,560,0.422,63.4,4.53,34
2025-01-11,paid_search,tablet,167,147,69,0.5647,103.0,4.14,7
2025-01-12,social_organic,tablet,42,35,20,0.613,65.8,2.51,1
2025-01-12,social_organic,mobile,253,196,101,0.3603,46.8,2.82,6
2025-01-12,social_organic,desktop,171,146,80,0.4385,88.2,4.02,7
2025-01-12,direct,tablet,91,75,48,0.3135,88.9,2.76,3
2025-01-12,direct,mobile,475,401,328,0.5988,186.5,2.49,11
2025-01-12,direct,desktop,287,256,187,0.3767,221.3,1.53,6
2025-01-12,paid_search,tablet,105,79,44,0.4278,281.0,1.83,3
2025-01-12,paid_search,mobile,606,542,418,0.4119,134.0,4.68,28
2025-01-12,paid_search,desktop,383,287,260,0.6173,119.9,4.38,17
2025-01-12,email,tablet,24,21,15,0.4744,181.0,4.39,0
2025-01-12,email,mobile,148,117,87,0.4414,120.5,4.84,6
2025-01-12,email,desktop,82,69,49,0.5099,265.8,4.61,1
2025-01-12,social_paid,tablet,90,79,60,0.3844,77.2,2.58,2
2025-01-12,social_paid,mobile,462,348,185,0.5519,80.5,1.7,9
2025-01-12,social_paid,desktop,307,284,142,0.468,54.5,2.88,14
2025-01-12,display,tablet,29,23,17,0.3393,285.4,1.65,0
2025-01-12,display,mobile,236,198,116,0.5012,76.7,4.74,6
2025-01-12,display,desktop,155,128,71,0.5855,169.3,3.53,5
2025-01-13,email,mobile,313,240,131,0.5948,254.9,1.84,12
2025-01-13,email,desktop,197,173,124,0.5138,268.3,2.97,6
2025-01-13,email,tablet,55,41,22,0.3928,178.5,4.37,1
2025-01-13,display,mobile,419,380,257,0.5861,230.8,3.11,8
2025-01-13,display,desktop,308,239,148,0.628,164.2,3.96,7
2025-01-13,display,tablet,91,76,38,0.5157,134.5,3.65,4
2025-01-13,social_organic,mobile,521,453,362,0.563,44.4,4.11,24
2025-01-13,social_organic,desktop,317,243,170,0.648,85.8,3.68,7
2025-01-13,social_organic,tablet,91,85,47,0.3148,77.3,3.0,2
2025-01-13,social_paid,mobile,1031,872,459,0.3625,89.5,4.16,30
2025-01-13,social_paid,desktop,652,530,440,0.4387,88.5,2.36,32
2025-01-13,social_paid,tablet,168,131,114,0.6318,110.2,3.59,8
2025-01-13,referral,mobile,324,299,215,0.3549,70.5,1.63,7
2025-01-13,referral,desktop,189,167,113,0.6451,249.1,1.52,8
2025-01-13,referral,tablet,56,47,37,0.6206,149.2,5.0,2
2025-01-14,display,tablet,26,21,15,0.414,207.8,3.51,0
2025-01-14,display,mobile,221,204,119,0.3438,122.2,2.5,5
2025-01-14,display,desktop,136,124,79,0.5579,270.2,4.57,6
2025-01-14,organic_search,tablet,141,105,97,0.5004,163.6,4.26,5
2025-01-14,organic_search,mobile,749,710,500,0.6884,173.8,2.9,30
2025-01-14,organic_search,desktop,514,451,207,0.5399,112.6,1.62,21
2025-01-14,social_paid,tablet,82,73,36,0.454,50.8,4.95,3
2025-01-14,social_paid,mobile,413,325,189,0.6374,86.5,2.18,18
2025-01-14,social_paid,desktop,277,233,114,0.5908,93.3,4.84,5
2025-01-14,social_organic,tablet,36,33,15,0.3202,57.8,3.79,1
2025-01-14,social_organic,mobile,251,222,108,0.3672,39.6,2.93,9
2025-01-14,social_organic,desktop,145,124,62,0.6676,58.3,3.29,5
2025-01-14,direct,tablet,91,71,47,0.5949,156.3,2.8,2
2025-01-14,direct,mobile,491,375,269,0.6139,206.6,3.81,11
2025-01-14,direct,desktop,293,273,162,0.6833,211.8,4.46,9
2025-01-15,social_organic,mobile,119,108,62,0.3091,70.5,3.7,5
2025-01-15,social_organic,tablet,21,17,12,0.6502,38.7,4.33,0
2025-01-15,social_organic,desktop,71,64,45,0.4742,73.6,1.6,2
2025-01-15,referral,mobile,76,60,39,0.6704,267.1,3.33,2
2025-01-15,referral,desktop,55,48,37,0.6835,141.3,4.25,1
2025-01-15,direct,mobile,234,195,104,0.4219,95.5,3.82,8
2025-01-15,direct,tablet,45,36,23,0.3019,182.4,4.31,1
2025-01-15,direct,desktop,150,139,98,0.6328,61.1,3.79,6
2025-01-15,email,mobile,76,57,30,0.6297,66.9,1.88,2
2025-01-15,email,tablet,15,12,9,0.6098,189.5,3.54,0
2025-01-15,email,desktop,54,49,34,0.4443,279.5,3.64,2
2025-01-15,organic_search,mobile,400,359,221,0.526,110.3,1.78,8
2025-01-15,organic_search,tablet,53,44,26,0.4109,75.1,3.48,1
2025-01-15,organic_search,desktop,231,183,108,0.6573,223.8,2.39,8
2025-01-15,social_paid,mobile,244,186,168,0.4118,84.8,2.06,10
2025-01-15,social_paid,tablet,36,31,17,0.3551,84.2,2.43,1
2025-01-15,social_paid,desktop,149,119,78,0.4361,117.4,4.76,6
2025-01-16,email,tablet,48,38,30,0.4024,215.2,4.1,2
2025-01-16,email,desktop,190,164,83,0.4455,245.3,3.41,6
2025-01-16,paid_search,tablet,215,183,145,0.4021,199.9,2.19,7
2025-01-16,paid_search,desktop,655,552,290,0.439,83.1,1.82,20
2025-01-16,social_paid,tablet,151,115,94,0.4664,72.2,4.27,3
2025-01-16,social_paid,desktop,543,479,286,0.3345,47.0,2.0,22
2025-01-16,organic_search,tablet,243,185,98,0.5284,135.9,3.32,7
2025-01-16,organic_search,desktop,920,742,368,0.4246,280.0,2.61,24
2025-01-16,direct,tablet,175,148,75,0.3925,96.0,2.6,7
2025-01-16,direct,desktop,494,440,242,0.53,73.2,4.38,14
2025-01-16,referral,tablet,46,35,27,0.6293,124.5,1.94,1
2025-01-16,referral,desktop,186,159,100,0.6374,284.8,3.11,6
2025-01-17,direct,desktop,719,577,491,0.532,237.9,3.66,17
2025-01-17,direct,tablet,205,194,126,0.6275,215.9,4.92,7
2025-01-17,paid_search,desktop,980,895,647,0.5135,179.6,3.7,42
2025-01-17,paid_search,tablet,280,222,163,0.3886,211.6,4.36,10
2025-01-17,social_organic,desktop,354,332,178,0.4768,70.1,2.54,17
2025-01-17,social_organic,tablet,95,80,52,0.4734,62.7,3.05,2
2025-01-17,email,desktop,233,195,130,0.3832,250.5,4.42,5
2025-01-17,email,tablet,85,72,50,0.3354,138.9,1.57,3
2025-01-17,social_paid,desktop,744,607,324,0.677,101.1,3.85,20
2025-01-17,social_paid,tablet,217,201,107,0.3146,56.9,2.66,7
2025-01-18,email,tablet,12,10,6,0.4522,108.7,1.9,0
2025-01-18,email,mobile,90,79,43,0.4566,89.4,3.58,4
2025-01-18,email,desktop,68,59,45,0.3701,278.5,1.91,2
2025-01-18,referral,tablet,24,20,12,0.482,113.5,2.24,0
2025-01-18,referral,mobile,96,75,61,0.4637,182.9,3.33,2
2025-01-18,referral,desktop,67,62,31,0.6453,119.3,3.17,2
2025-01-18,social_paid,tablet,64,59,32,0.6182,77.1,2.17,1
2025-01-18,social_paid,mobile,314,288,127,0.644,104.8,1.68,12
2025-01-18,social_paid,desktop,164,151,72,0.5649,45.2,3.07,6
2025-01-18,social_organic,tablet,45,40,28,0.594,79.0,3.31,2
2025-01-18,social_organic,mobile,149,139,80,0.3829,89.6,4.22,5
2025-01-18,social_organic,desktop,91,83,60,0.3914,63.8,3.73,3
2025-01-18,direct,tablet,48,37,31,0.544,295.5,1.79,1
2025-01-18,direct,mobile,303,262,138,0.6297,170.7,2.07,8
2025-01-18,direct,desktop,172,162,90,0.5385,263.3,4.68,8
2025-01-18,paid_search,tablet,70,54,32,0.6718,93.3,4.94,2
2025-01-18,paid_search,mobile,378,322,191,0.5887,219.8,4.52,11
2025-01-18,paid_search,desktop,230,177,158,0.6665,95.1,2.12,7
2025-01-19,social_organic,mobile,268,253,126,0.6942,47.5,2.14,11
2025-01-19,social_organic,tablet,51,47,20,0.4496,46.2,2.98,2
2025-01-19,social_organic,desktop,173,133,103,0.6913,83.3,4.88,5
2025-01-19,email,mobile,160,127,69,0.4104,193.3,2.84,7
2025-01-19,email,tablet,27,22,16,0.5616,224.0,3.03,1
2025-01-19,email,desktop,103,82,49,0.4284,85.5,1.62,3
2025-01-19,paid_search,mobile,737,665,462,0.3491,94.2,2.63,29
2025-01-19,paid_search,tablet,124,105,53,0.3962,211.1,3.0,4
2025-01-19,paid_search,desktop,411,369,272,0.4796,63.6,2.11,20
2025-01-19,referral,mobile,175,135,97,0.3626,88.1,2.65,4
2025-01-19,referral,tablet,28,24,17,0.5079,283.9,3.53,1
2025-01-19,referral,desktop,112,105,48,0.3537,186.4,3.63,4
2025-01-19,direct,mobile,477,387,223,0.4391,232.0,4.94,10
2025-01-19,direct,tablet,110,96,66,0.4661,276.2,2.68,4
2025-01-19,direct,desktop,351,287,242,0.3121,127.1,2.68,13
2025-01-20,paid_search,desktop,252,228,138,0.4152,217.6,1.73,9
2025-01-20,paid_search,mobile,378,299,225,0.4512,267.7,2.97,18
2025-01-20,referral,desktop,50,46,21,0.6294,159.9,1.66,1
2025-01-20,referral,mobile,93,71,59,0.4149,250.4,4.83,3
2025-01-20,social_organic,desktop,103,93,57,0.3643,85.9,2.73,2
2025-01-20,social_organic,mobile,125,116,85,0.6402,41.9,4.48,3
2025-01-20,organic_search,desktop,312,238,183,0.6594,81.6,2.55,7
2025-01-20,organic_search,mobile,460,436,196,0.6416,178.5,3.75,14
2025-01-20,direct,desktop,159,136,110,0.6511,274.8,2.81,3
2025-01-20,direct,mobile,279,240,153,0.587,206.8,3.78,7
2025-01-20,display,desktop,78,70,40,0.3353,270.7,3.69,2
2025-01-20,display,mobile,134,123,77,0.5443,272.8,3.5,3
2025-01-21,direct,tablet,42,39,22,0.5303,150.2,4.52,0
2025-01-21,direct,mobile,214,177,85,0.5269,226.1,3.38,9
2025-01-21,direct,desktop,135,119,74,0.4654,193.9,2.25,2
2025-01-21,organic_search,tablet,55,41,27,0.5647,241.8,1.87,2
2025-01-21,organic_search,mobile,333,272,195,0.5018,255.8,4.1,15
2025-01-21,organic_search,desktop,238,224,98,0.5995,270.6,1.63,9
2025-01-21,social_paid,tablet,44,40,19,0.4498,96.0,3.91,2
2025-01-21,social_paid,mobile,212,162,123,0.3274,97.3,4.54,4
2025-01-21,social_paid,desktop,120,104,69,0.4871,58.2,2.28,3
2025-01-21,referral,tablet,11,9,4,0.32,96.7,4.28,0
2025-01-21,referral,mobile,69,53,29,0.421,87.6,1.8,1
2025-01-21,referral,desktop,33,29,14,0.4433,211.5,4.09,1
2025-01-21,paid_search,tablet,49,42,29,0.6367,176.8,3.14,1
2025-01-21,paid_search,mobile,258,226,116,0.6881,175.7,2.02,11
2025-01-21,paid_search,desktop,188,158,90,0.6272,74.4,2.43,5
2025-01-21,email,tablet,15,13,10,0.4634,291.4,2.85,0
2025-01-21,email,mobile,84,68,37,0.3586,250.2,3.38,3
2025-01-21,email,desktop,35,31,22,0.6582,125.3,3.48,0
2025-01-22,paid_search,desktop,941,768,377,0.4045,129.6,4.59,33
2025-01-22,paid_search,tablet,271,245,123,0.3658,253.2,3.31,12
2025-01-22,email,desktop,237,209,122,0.4699,194.2,3.42,8
2025-01-22,email,tablet,59,48,30,0.4916,212.8,1.75,1
2025-01-22,display,desktop,342,313,205,0.5232,280.0,3.37,10
2025-01-22,display,tablet,87,80,59,0.5068,173.2,4.02,3
2025-01-22,organic_search,desktop,1229,1048,612,0.385,161.8,1.9,47
2025-01-22,organic_search,tablet,348,271,147,0.5848,113.9,2.24,12
2025-01-22,social_paid,desktop,744,618,469,0.4759,41.3,2.4,17
2025-01-22,social_paid,tablet,207,176,143,0.3738,66.5,1.51,7
2025-01-23,social_organic,desktop,180,145,72,0.5911,41.7,2.51,6
2025-01-23,social_organic,mobile,279,227,147,0.3762,38.5,1.78,5
2025-01-23,social_organic,tablet,68,59,43,0.5918,45.9,4.45,3
2025-01-23,direct,desktop,366,274,205,0.5745,151.7,3.26,10
2025-01-23,direct,mobile,583,489,272,0.3382,296.0,4.87,12
2025-01-23,direct,tablet,99,88,66,0.4422,230.5,4.29,2
2025-01-23,paid_search,desktop,494,418,236,0.4353,119.6,2.27,16
2025-01-23,paid_search,mobile,759,626,490,0.3433,117.7,4.48,25
2025-01-23,paid_search,tablet,135,122,93,0.3326,91.4,2.98,4
2025-01-23,email,desktop,128,114,57,0.3749,171.3,2.98,4
2025-01-23,email,mobile,200,173,119,0.4692,176.6,1.99,5
2025-01-23,email,tablet,29,27,17,0.6179,125.4,2.53,1
2025-01-23,organic_search,desktop,639,518,338,0.3068,160.9,2.42,18
2025-01-23,organic_search,mobile,913,821,593,0.306,296.4,1.8,33
2025-01-23,organic_search,tablet,176,166,97,0.5974,101.7,4.27,5
2025-01-23,display,desktop,162,128,106,0.4992,166.8,3.14,5
2025-01-23,display,mobile,293,264,198,0.5529,184.2,2.42,12
2025-01-23,display,tablet,37,30,15,0.6533,212.4,3.58,1
2025-01-24,organic_search,tablet,139,125,64,0.601,181.1,4.28,6
2025-01-24,organic_search,mobile,758,711,339,0.3643,123.6,3.4,32
2025-01-24,organic_search,desktop,484,404,203,0.6876,227.4,2.91,11
2025-01-24,referral,tablet,31,26,21,0.6275,73.9,4.63,1
2025-01-24,referral,mobile,141,114,71,0.6544,62.8,4.11,6
2025-01-24,referral,desktop,118,105,66,0.3078,217.1,2.18,4
2025-01-24,paid_search,tablet,104,84,62,0.6607,103.2,4.99,4
2025-01-24,paid_search,mobile,616,570,385,0.4741,180.8,3.0,30
2025-01-24,paid_search,desktop,398,370,210,0.5197,143.6,2.61,15
2025-01-24,direct,tablet,95,90,39,0.414,284.4,1.74,3
2025-01-24,direct,mobile,519,445,332,0.3895,290.4,1.94,24
2025-01-24,direct,desktop,314,289,193,0.3805,174.6,4.56,12
2025-01-24,social_organic,tablet,44,37,18,0.5281,33.8,4.75,1
2025-01-24,social_organic,mobile,243,188,145,0.638,69.2,2.59,5
2025-01-24,social_organic,desktop,160,140,86,0.699,38.5,2.76,3
2025-01-25,direct,desktop,244,187,163,0.6659,114.2,2.08,7
2025-01-25,direct,mobile,386,359,167,0.6807,245.0,3.59,9
2025-01-25,display,desktop,126,113,71,0.4047,299.5,4.42,5
2025-01-25,display,mobile,190,170,116,0.478,145.4,4.84,6
2025-01-25,email,desktop,95,73,57,0.4464,269.6,2.88,2
2025-01-25,email,mobile,133,103,58,0.614,244.5,2.09,5
2025-01-25,referral,desktop,77,65,48,0.3445,158.6,2.8,3
2025-01-25,referral,mobile,128,97,77,0.3603,182.0,3.09,4
2025-01-25,paid_search,desktop,364,297,153,0.4405,269.4,3.37,12
2025-01-25,paid_search,mobile,557,425,357,0.3396,77.8,2.7,25
2025-01-25,organic_search,desktop,403,354,219,0.5575,151.7,3.12,8
2025-01-25,organic_search,mobile,666,578,336,0.6244,300.0,3.06,15
2025-01-26,organic_search,tablet,106,97,43,0.438,193.2,2.15,3
2025-01-26,organic_search,mobile,610,551,350,0.3315,203.8,3.8,22
2025-01-26,referral,tablet,23,20,9,0.4861,74.4,3.52,0
2025-01-26,referral,mobile,133,108,82,0.3064,232.1,3.8,6
2025-01-26,social_organic,tablet,35,27,23,0.3496,33.2,1.85,1
2025-01-26,social_organic,mobile,188,176,82,0.5049,69.0,3.44,7
2025-01-26,display,tablet,26,21,11,0.6496,179.9,4.78,1
2025-01-26,display,mobile,151,141,86,0.6028,267.5,4.22,7
2025-01-26,social_paid,tablet,47,40,30,0.5375,72.8,1.65,2
2025-01-26,social_paid,mobile,381,355,204,0.378,114.2,4.97,10
2025-01-26,paid_search,tablet,85,65,57,0.6637,250.5,4.03,2
2025-01-26,paid_search,mobile,438,360,190,0.339,292.3,3.8,17
2025-01-27,social_paid,tablet,87,66,43,0.6912,78.8,2.32,1
2025-01-27,social_paid,mobile,528,418,254,0.3237,54.8,2.75,16
2025-01-27,email,tablet,32,27,22,0.4816,270.7,2.65,0
2025-01-27,email,mobile,198,152,97,0.489,127.6,2.01,5
2025-01-27,referral,tablet,34,27,21,0.6832,200.5,2.54,0
2025-01-27,referral,mobile,180,136,88,0.545,87.7,4.03,7
2025-01-27,paid_search,tablet,131,124,54,0.4535,268.6,3.34,5
2025-01-27,paid_search,mobile,727,656,458,0.4457,266.9,2.92,15
2025-01-27,direct,tablet,94,77,50,0.3617,93.1,1.78,4
2025-01-27,direct,mobile,477,424,290,0.4847,109.3,4.85,17
2025-01-27,display,tablet,46,35,18,0.4441,136.2,3.99,1
2025-01-27,display,mobile,231,176,156,0.6501,216.1,4.15,10
2025-01-28,organic_search,mobile,1538,1452,1058,0.5989,126.6,1.9,59
2025-01-28,organic_search,tablet,281,255,142,0.5202,217.9,1.93,6
2025-01-28,email,mobile,312,240,189,0.4515,287.8,2.17,12
2025-01-28,email,tablet,47,44,23,0.4933,218.0,3.87,1
2025-01-28,display,mobile,431,386,270,0.5977,261.8,4.17,20
2025-01-28,display,tablet,80,70,35,0.6877,274.4,2.18,3
2025-01-28,direct,mobile,882,671,556,0.6044,183.7,3.64,23
2025-01-28,direct,tablet,170,131,97,0.6397,97.8,4.44,3
2025-01-28,referral,mobile,321,283,145,0.6636,259.9,2.88,15
2025-01-28,referral,tablet,50,38,34,0.3148,160.0,2.69,2
2025-01-28,social_paid,mobile,910,736,577,0.446,113.0,3.88,20
2025-01-28,social_paid,tablet,170,148,81,0.6379,43.0,2.2,4
2025-01-29,referral,tablet,18,16,11,0.3139,262.0,3.3,0
2025-01-29,referral,desktop,57,47,23,0.4086,63.9,3.56,1
