sale_id,date,model,trim,dealer_id,market,price_gbp,finance_type,lead_id,source
SL000066,2025-09-02,AVATR 12,Long Range,DLR002,GB,54990,PCP,,event
SL000067,2025-09-02,DEEPAL S07,Pure,DLR041,DE,27990,HP,,referral
SL000068,2025-09-02,AVATR 12,Long Range,DLR002,FR,54990,PCP,,dealer_walkin
SL000069,2025-09-02,DEEPAL S07,Pure,DLR050,GB,27990,PCP,,dealer_walkin
SL000070,2025-09-02,DEEPAL S07,Pure,DLR002,GB,27990,PCP,,event
SL000071,2025-09-02,DEEPAL S07,Pure,DLR050,GB,27990,cash,,referral
SL000072,2025-09-02,DEEPAL S07,Design,DLR012,GB,31990,PCP,,dealer_walkin
SL000073,2025-09-02,DEEPAL S07,Pure,DLR019,GB,27990,lease,,website
SL000074,2025-09-02,AVATR 12,Long Range,DLR012,GB,54990,PCP,,event
SL000075,2025-09-02,DEEPAL S07,Pure,DLR050,DE,27990,PCP,,website
SL000076,2025-09-02,DEEPAL S07,Pure,DLR050,GB,27990,HP,,referral
SL000077,2025-09-02,DEEPAL S07,Intelligence,DLR002,GB,35990,cash,,event
SL000078,2025-09-02,DEEPAL S07,Pure,DLR002,DE,27990,HP,,dealer_walkin
SL000079,2025-09-02,AVATR 12,Long Range,DLR050,DE,54990,PCP,,dealer_walkin
SL000080,2025-09-02,AVATR 12,Long Range,DLR019,GB,54990,lease,,event
SL000081,2025-09-02,DEEPAL S07,Design,DLR012,GB,31990,PCP,,dealer_walkin
SL000082,2025-09-02,DEEPAL S07,Pure,DLR012,DE,27990,PCP,,event
SL000083,2025-09-02,DEEPAL S07,Intelligence,DLR012,GB,35990,PCP,,website
SL000084,2025-09-02,DEEPAL S07,Design,DLR041,DE,31990,PCP,,referral
SL000085,2025-09-02,DEEPAL S07,Design,DLR002,DE,31990,lease,,event
SL000086,2025-09-02,DEEPAL S07,Design,DLR012,GB,31990,cash,,event
SL000087,2025-09-02,DEEPAL S07,Design,DLR012,FR,31990,lease,,website
SL000088,2025-09-02,DEEPAL S07,Design,DLR050,FR,31990,lease,,website
SL000089,2025-09-02,DEEPAL S07,Pure,DLR002,DE,27990,PCP,,referral
SL000090,2025-09-02,AVATR 12,Performance,DLR012,GB,64990,lease,,dealer_walkin
SL000091,2025-09-02,DEEPAL S07,Pure,DLR012,DE,27990,PCP,,referral
SL000092,2025-09-02,DEEPAL S07,Pure,DLR003,GB,27990,PCP,LD007818,test_drive
SL000093,2025-09-02,DEEPAL S07,Design,DLR019,DE,31990,HP,,referral
SL000094,2025-09-02,DEEPAL S07,Design,DLR019,GB,31990,lease,,website
SL000095,2025-09-02,DEEPAL S07,Design,DLR050,GB,31990,PCP,,website
SL000096,2025-09-02,AVATR 12,Performance,DLR050,GB,64990,cash,,dealer_walkin
SL000097,2025-09-02,AVATR 12,Performance,DLR041,DE,64990,cash,,website
SL000098,2025-09-02,DEEPAL S07,Intelligence,DLR041,GB,35990,cash,,dealer_walkin
SL000099,2025-09-02,AVATR 12,Performance,DLR012,FR,64990,PCP,,dealer_walkin
SL000100,2025-09-02,DEEPAL S07,Pure,DLR003,DE,27990,PCP,LD001318,test_drive
SL000101,2025-09-02,DEEPAL S07,Design,DLR019,DE,31990,PCP,,referral
SL000102,2025-09-02,DEEPAL S07,Pure,DLR002,GB,27990,PCP,,referral
SL000103,2025-09-02,DEEPAL S07,Intelligence,DLR041,DE,35990,HP,,referral
SL000104,2025-09-02,AVATR 12,Performance,DLR002,GB,64990,PCP,,dealer_walkin
SL000105,2025-09-02,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,website
SL000106,2025-09-02,DEEPAL S07,Design,DLR019,FR,31990,PCP,,website
SL000107,2025-09-02,DEEPAL S07,Pure,DLR050,DE,27990,PCP,,dealer_walkin
SL000108,2025-09-02,DEEPAL S07,Intelligence,DLR019,FR,35990,PCP,,website
SL000109,2025-09-02,DEEPAL S07,Pure,DLR050,DE,27990,HP,,event
SL000110,2025-09-02,DEEPAL S07,Pure,DLR012,DE,27990,cash,,event
SL000111,2025-09-03,DEEPAL S07,Intelligence,DLR012,FR,35990,PCP,,referral
SL000112,2025-09-03,DEEPAL S07,Design,DLR002,DE,31990,cash,,website
SL000113,2025-09-03,AVATR 12,Long Range,DLR041,DE,54990,PCP,,dealer_walkin
SL000114,2025-09-03,DEEPAL S07,Pure,DLR041,GB,27990,cash,,dealer_walkin
SL000115,2025-09-03,DEEPAL S07,Design,DLR050,GB,31990,PCP,,website
SL000116,2025-09-03,DEEPAL S07,Intelligence,DLR012,GB,35990,PCP,,referral
SL000117,2025-09-03,DEEPAL S07,Pure,DLR049,GB,27990,PCP,,dealer_walkin
SL000118,2025-09-03,AVATR 12,Performance,DLR050,DE,64990,PCP,,dealer_walkin
SL000119,2025-09-03,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,referral
SL000120,2025-09-03,DEEPAL S07,Design,DLR002,GB,31990,PCP,,dealer_walkin
SL000121,2025-09-03,DEEPAL S07,Intelligence,DLR019,DE,35990,PCP,,referral
SL000122,2025-09-03,AVATR 12,Long Range,DLR041,GB,54990,PCP,,referral
SL000123,2025-09-03,DEEPAL S07,Intelligence,DLR002,GB,35990,lease,,dealer_walkin
SL000124,2025-09-03,DEEPAL S07,Pure,DLR002,GB,27990,PCP,,referral
SL000125,2025-09-03,DEEPAL S07,Pure,DLR049,DE,27990,PCP,,dealer_walkin
SL000126,2025-09-03,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,website
SL000127,2025-09-03,AVATR 12,Long Range,DLR049,DE,54990,lease,,event
SL000128,2025-09-03,DEEPAL S07,Design,DLR041,GB,31990,cash,,referral
SL000129,2025-09-03,DEEPAL S07,Pure,DLR041,DE,27990,cash,,dealer_walkin
SL000130,2025-09-03,DEEPAL S07,Pure,DLR002,GB,27990,PCP,,referral
SL000131,2025-09-03,AVATR 12,Performance,DLR049,GB,64990,PCP,,dealer_walkin
SL000132,2025-09-03,AVATR 12,Long Range,DLR041,GB,54990,PCP,,website
SL000133,2025-09-03,AVATR 12,Long Range,DLR019,FR,54990,PCP,,referral
SL000134,2025-09-03,AVATR 12,Performance,DLR012,GB,64990,lease,,event
SL000135,2025-09-03,DEEPAL S07,Pure,DLR012,FR,27990,lease,,event
SL000136,2025-09-03,DEEPAL S07,Pure,DLR019,GB,27990,lease,,website
SL000137,2025-09-03,DEEPAL S07,Pure,DLR002,GB,27990,PCP,,website
SL000138,2025-09-03,DEEPAL S07,Design,DLR049,DE,31990,cash,,dealer_walkin
SL000139,2025-09-03,DEEPAL S07,Pure,DLR041,FR,27990,HP,,referral
SL000140,2025-09-03,DEEPAL S07,Design,DLR049,GB,31990,PCP,,dealer_walkin
SL000141,2025-09-03,DEEPAL S07,Pure,DLR002,GB,27990,lease,,dealer_walkin
SL000142,2025-09-03,DEEPAL S07,Pure,DLR049,GB,27990,PCP,,website
SL000143,2025-09-03,AVATR 12,Long Range,DLR019,GB,54990,PCP,,referral
SL000144,2025-09-03,DEEPAL S07,Intelligence,DLR012,GB,35990,PCP,,referral
SL000145,2025-09-03,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,referral
SL000146,2025-09-03,DEEPAL S07,Design,DLR049,GB,31990,PCP,,dealer_walkin
SL000147,2025-09-03,DEEPAL S07,Pure,DLR019,DE,27990,cash,,website
SL000148,2025-09-03,DEEPAL S07,Design,DLR002,DE,31990,PCP,,event
SL000149,2025-09-03,AVATR 12,Performance,DLR050,GB,64990,cash,,event
SL000150,2025-09-03,DEEPAL S07,Design,DLR019,DE,31990,lease,,referral
SL000151,2025-09-03,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,dealer_walkin
SL000152,2025-09-03,DEEPAL S07,Pure,DLR049,FR,27990,HP,,referral
SL000153,2025-09-03,DEEPAL S07,Pure,DLR002,GB,27990,lease,,website
SL000154,2025-09-03,DEEPAL S07,Design,DLR049,GB,31990,PCP,,dealer_walkin
SL000155,2025-09-03,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,event
SL000156,2025-09-03,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,event
SL000157,2025-09-03,DEEPAL S07,Pure,DLR012,GB,27990,PCP,,website
SL000158,2025-09-03,DEEPAL S07,Design,DLR002,GB,31990,PCP,,referral
SL000159,2025-09-03,DEEPAL S07,Design,DLR049,GB,31990,lease,,referral
SL000160,2025-09-03,DEEPAL S07,Pure,DLR012,GB,27990,PCP,,referral
SL000161,2025-09-04,DEEPAL S07,Design,DLR019,GB,31990,PCP,,referral
SL000162,2025-09-04,AVATR 12,Long Range,DLR012,GB,54990,PCP,,website
SL000163,2025-09-04,AVATR 12,Performance,DLR019,GB,64990,PCP,,dealer_walkin
SL000164,2025-09-04,AVATR 12,Long Range,DLR002,DE,54990,PCP,,event
SL000165,2025-09-04,DEEPAL S07,Pure,DLR049,GB,27990,HP,,event
SL000166,2025-09-04,DEEPAL S07,Design,DLR019,FR,31990,lease,,dealer_walkin
SL000167,2025-09-04,DEEPAL S07,Design,DLR050,DE,31990,PCP,,dealer_walkin
SL000168,2025-09-04,DEEPAL S07,Pure,DLR049,GB,27990,PCP,,event
SL000169,2025-09-04,DEEPAL S07,Pure,DLR041,FR,27990,PCP,,referral
SL000170,2025-09-04,DEEPAL S07,Pure,DLR019,DE,27990,PCP,,website
SL000171,2025-09-04,DEEPAL S07,Intelligence,DLR004,DE,35990,PCP,LD002744,test_drive
SL000172,2025-09-04,DEEPAL S07,Design,DLR019,DE,31990,HP,,dealer_walkin
SL000173,2025-09-04,DEEPAL S07,Design,DLR012,GB,31990,PCP,,referral
SL000174,2025-09-04,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,referral
SL000175,2025-09-04,DEEPAL S07,Pure,DLR012,DE,27990,HP,,referral
SL000176,2025-09-04,AVATR 12,Long Range,DLR049,GB,54990,PCP,,event
SL000177,2025-09-04,DEEPAL S07,Pure,DLR050,DE,27990,PCP,,event
SL000178,2025-09-04,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,website
SL000179,2025-09-04,DEEPAL S07,Pure,DLR012,FR,27990,PCP,,referral
SL000180,2025-09-04,AVATR 12,Long Range,DLR041,GB,54990,PCP,,website
SL000181,2025-09-04,DEEPAL S07,Intelligence,DLR050,DE,35990,PCP,,referral
SL000182,2025-09-04,DEEPAL S07,Pure,DLR050,FR,27990,PCP,,referral
SL000183,2025-09-04,DEEPAL S07,Intelligence,DLR049,GB,35990,PCP,,website
SL000184,2025-09-04,DEEPAL S07,Design,DLR012,GB,31990,PCP,,referral
SL000185,2025-09-04,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,dealer_walkin
SL000186,2025-09-04,AVATR 12,Performance,DLR012,GB,64990,HP,,event
SL000187,2025-09-04,DEEPAL S07,Pure,DLR049,GB,27990,PCP,,event
SL000188,2025-09-04,DEEPAL S07,Pure,DLR050,GB,27990,PCP,,dealer_walkin
SL000189,2025-09-04,DEEPAL S07,Pure,DLR012,DE,27990,PCP,,website
SL000190,2025-09-04,AVATR 12,Long Range,DLR012,GB,54990,lease,,website
SL000191,2025-09-04,DEEPAL S07,Design,DLR012,GB,31990,PCP,,referral
SL000192,2025-09-04,DEEPAL S07,Design,DLR041,GB,31990,HP,,dealer_walkin
SL000193,2025-09-04,DEEPAL S07,Design,DLR041,FR,31990,PCP,,website
SL000194,2025-09-04,DEEPAL S07,Intelligence,DLR049,GB,35990,PCP,,dealer_walkin
SL000195,2025-09-04,DEEPAL S07,Design,DLR050,GB,31990,HP,,dealer_walkin
SL000196,2025-09-04,AVATR 12,Long Range,DLR050,GB,54990,lease,,referral
SL000197,2025-09-04,DEEPAL S07,Design,DLR012,GB,31990,PCP,,referral
SL000198,2025-09-04,DEEPAL S07,Pure,DLR012,GB,27990,PCP,,referral
SL000199,2025-09-04,DEEPAL S07,Intelligence,DLR050,GB,35990,PCP,,website
SL000200,2025-09-04,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,dealer_walkin
SL000201,2025-09-04,DEEPAL S07,Design,DLR002,GB,31990,cash,,referral
SL000202,2025-09-04,AVATR 12,Performance,DLR012,GB,64990,lease,,website
SL000203,2025-09-04,AVATR 12,Performance,DLR002,GB,64990,cash,,event
SL000204,2025-09-04,DEEPAL S07,Pure,DLR012,GB,27990,PCP,,dealer_walkin
SL000205,2025-09-04,DEEPAL S07,Design,DLR002,GB,31990,HP,,website
SL000206,2025-09-04,AVATR 12,Performance,DLR002,GB,64990,PCP,,referral
SL000207,2025-09-04,DEEPAL S07,Design,DLR002,FR,31990,lease,,website
SL000208,2025-09-04,DEEPAL S07,Intelligence,DLR050,DE,35990,PCP,,referral
SL000209,2025-09-04,AVATR 12,Long Range,DLR049,DE,54990,lease,,website
SL000210,2025-09-04,DEEPAL S07,Pure,DLR012,GB,27990,PCP,,event
SL000211,2025-09-05,DEEPAL S07,Pure,DLR019,GB,27990,HP,,dealer_walkin
SL000212,2025-09-05,AVATR 12,Performance,DLR050,GB,64990,PCP,,website
SL000213,2025-09-05,DEEPAL S07,Design,DLR041,GB,31990,PCP,,website
SL000214,2025-09-05,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,referral
SL000215,2025-09-05,DEEPAL S07,Pure,DLR050,GB,27990,lease,,website
SL000216,2025-09-05,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,dealer_walkin
SL000217,2025-09-05,DEEPAL S07,Pure,DLR002,DE,27990,cash,,referral
SL000218,2025-09-05,DEEPAL S07,Intelligence,DLR025,GB,35990,lease,,dealer_walkin
SL000219,2025-09-05,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,dealer_walkin
SL000220,2025-09-05,DEEPAL S07,Design,DLR016,GB,31990,PCP,,website
SL000221,2025-09-05,DEEPAL S07,Pure,DLR002,DE,27990,cash,,dealer_walkin
SL000222,2025-09-05,DEEPAL S07,Design,DLR025,FR,31990,PCP,,event
SL000223,2025-09-05,AVATR 12,Long Range,DLR016,DE,54990,PCP,,dealer_walkin
SL000224,2025-09-05,DEEPAL S07,Pure,DLR012,GB,27990,PCP,,event
SL000225,2025-09-05,DEEPAL S07,Design,DLR041,GB,31990,PCP,,referral
SL000226,2025-09-05,DEEPAL S07,Pure,DLR016,FR,27990,HP,,dealer_walkin
SL000227,2025-09-05,DEEPAL S07,Design,DLR049,GB,31990,PCP,,referral
SL000228,2025-09-05,DEEPAL S07,Pure,DLR041,GB,27990,cash,,event
SL000229,2025-09-05,DEEPAL S07,Pure,DLR012,DE,27990,PCP,,event
SL000230,2025-09-05,DEEPAL S07,Design,DLR049,GB,31990,PCP,,referral
SL000231,2025-09-05,AVATR 12,Performance,DLR049,GB,64990,HP,,referral
SL000232,2025-09-05,AVATR 12,Long Range,DLR016,GB,54990,PCP,,referral
SL000233,2025-09-05,DEEPAL S07,Design,DLR049,GB,31990,PCP,,website
SL000234,2025-09-05,DEEPAL S07,Pure,DLR016,DE,27990,PCP,,website
SL000235,2025-09-05,AVATR 12,Long Range,DLR049,GB,54990,PCP,,website
SL000236,2025-09-05,DEEPAL S07,Design,DLR041,GB,31990,PCP,,website
SL000237,2025-09-05,DEEPAL S07,Pure,DLR041,DE,27990,PCP,,website
SL000238,2025-09-05,DEEPAL S07,Design,DLR050,GB,31990,cash,,referral
SL000239,2025-09-05,DEEPAL S07,Pure,DLR050,DE,27990,lease,,dealer_walkin
SL000240,2025-09-05,DEEPAL S07,Design,DLR049,GB,31990,PCP,,dealer_walkin
SL000241,2025-09-05,AVATR 12,Long Range,DLR025,FR,54990,lease,,event
SL000242,2025-09-05,AVATR 12,Long Range,DLR002,GB,54990,lease,,website
SL000243,2025-09-05,DEEPAL S07,Intelligence,DLR037,GB,35990,PCP,,referral
SL000244,2025-09-05,DEEPAL S07,Intelligence,DLR002,GB,35990,PCP,,event
SL000245,2025-09-05,DEEPAL S07,Intelligence,DLR041,DE,35990,PCP,,website
SL000246,2025-09-05,AVATR 12,Performance,DLR012,GB,64990,PCP,,referral
SL000247,2025-09-05,DEEPAL S07,Intelligence,DLR037,FR,35990,cash,,dealer_walkin
SL000248,2025-09-05,DEEPAL S07,Pure,DLR041,GB,27990,PCP,,website
SL000249,2025-09-05,DEEPAL S07,Pure,DLR049,FR,27990,PCP,,referral
SL000250,2025-09-05,DEEPAL S07,Design,DLR012,DE,31990,cash,,dealer_walkin
SL000251,2025-09-05,DEEPAL S07,Pure,DLR016,GB,27990,PCP,,event
SL000252,2025-09-05,DEEPAL S07,Design,DLR050,GB,31990,HP,,event
SL000253,2025-09-05,DEEPAL S07,Pure,DLR002,GB,27990,HP,LD008534,test_drive
SL000254,2025-09-05,DEEPAL S07,Pure,DLR016,GB,27990,HP,,referral
SL000255,2025-09-05,DEEPAL S07,Pure,DLR016,DE,27990,lease,,event
SL000256,2025-09-05,DEEPAL S07,Design,DLR050,GB,31990,HP,,website
SL000257,2025-09-05,DEEPAL S07,Pure,DLR016,GB,27990,PCP,,event
SL000258,2025-09-05,DEEPAL S07,Intelligence,DLR012,GB,35990,HP,,dealer_walkin
SL000259,2025-09-05,DEEPAL S07,Intelligence,DLR025,DE,35990,PCP,,dealer_walkin
SL000260,2025-09-05,AVATR 12,Performance,DLR025,GB,64990,PCP,,event
SL000261,2025-09-05,DEEPAL S07,Design,DLR041,DE,31990,PCP,,website
SL000262,2025-09-05,DEEPAL S07,Design,DLR012,GB,31990,PCP,,event
SL000263,2025-09-05,DEEPAL S07,Design,DLR041,DE,31990,PCP,,event
SL000264,2025-09-05,AVATR 12,Performance,DLR012,GB,64990,PCP,,referral
SL000265,2025-09-05,DEEPAL S07,Pure,DLR016,DE,27990,HP,,website
SL000266,2025-09-05,AVATR 12,Performance,DLR002,GB,64990,HP,,referral
SL000267,2025-09-05,DEEPAL S07,Pure,DLR050,GB,27990,cash,,dealer_walkin
SL000268,2025-09-05,DEEPAL S07,Pure,DLR019,GB,27990,lease,,event
SL000269,2025-09-05,DEEPAL S07,Design,DLR016,GB,31990,HP,,dealer_walkin
SL000270,2025-09-05,DEEPAL S07,Design,DLR002,FR,31990,PCP,,website
SL000271,2025-09-05,DEEPAL S07,Pure,DLR049,FR,27990,lease,,referral
SL000272,2025-09-05,DEEPAL S07,Pure,DLR049,GB,27990,PCP,,dealer_walkin
SL000273,2025-09-05,DEEPAL S07,Pure,DLR037,FR,27990,cash,,referral
SL000274,2025-09-05,DEEPAL S07,Intelligence,DLR049,DE,35990,PCP,,website
SL000275,2025-09-05,AVATR 12,Long Range,DLR041,GB,54990,PCP,,website
SL000276,2025-09-05,DEEPAL S07,Design,DLR002,DE,31990,cash,,event
SL000277,2025-09-05,DEEPAL S07,Intelligence,DLR049,DE,35990,PCP,,dealer_walkin
SL000278,2025-09-05,DEEPAL S07,Pure,DLR002,GB,27990,cash,,event
SL000279,2025-09-05,DEEPAL S07,Intelligence,DLR019,GB,35990,lease,,referral
SL000280,2025-09-05,DEEPAL S07,Design,DLR019,GB,31990,cash,,dealer_walkin
SL000281,2025-09-05,AVATR 12,Performance,DLR002,GB,64990,PCP,,referral
SL000282,2025-09-05,AVATR 12,Performance,DLR019,FR,64990,lease,,event
SL000283,2025-09-05,DEEPAL S07,Design,DLR050,GB,31990,cash,,event
SL000284,2025-09-05,DEEPAL S07,Pure,DLR002,FR,27990,PCP,,website
SL000285,2025-09-05,AVATR 12,Long Range,DLR002,GB,54990,HP,,website
SL000286,2025-09-05,DEEPAL S07,Design,DLR050,GB,31990,PCP,,website
SL000287,2025-09-05,DEEPAL S07,Intelligence,DLR050,DE,35990,HP,,dealer_walkin
SL000288,2025-09-05,AVATR 12,Long Range,DLR050,DE,54990,lease,,referral
SL000289,2025-09-05,DEEPAL S07,Pure,DLR025,GB,27990,PCP,,website
SL000290,2025-09-05,AVATR 12,Long Range,DLR041,DE,54990,HP,,event
SL000291,2025-09-05,DEEPAL S07,Design,DLR012,DE,31990,PCP,,event
SL000292,2025-09-05,AVATR 12,Long Range,DLR016,FR,54990,lease,,dealer_walkin
SL000293,2025-09-05,DEEPAL S07,Pure,DLR049,GB,27990,HP,,website
SL000294,2025-09-05,DEEPAL S07,Intelligence,DLR050,GB,35990,cash,,event
SL000295,2025-09-05,AVATR 12,Long Range,DLR019,GB,54990,cash,,event
SL000296,2025-09-05,DEEPAL S07,Pure,DLR037,DE,27990,cash,,referral
SL000297,2025-09-05,DEEPAL S07,Pure,DLR049,DE,27990,HP,,dealer_walkin
SL000298,2025-09-05,DEEPAL S07,Design,DLR025,FR,31990,HP,,dealer_walkin
SL000299,2025-09-05,AVATR 12,Long Range,DLR002,DE,54990,PCP,,website
SL000300,2025-09-05,DEEPAL S07,Pure,DLR041,GB,27990,lease,,event
SL000301,2025-09-05,DEEPAL S07,Pure,DLR019,GB,27990,PCP,,referral
SL000302,2025-09-06,DEEPAL S07,Design,DLR016,GB,31990,PCP,,referral
SL000303,2025-09-06,DEEPAL S07,Intelligence,DLR001,GB,35990,PCP,,dealer_walkin
SL000304,2025-09-06,DEEPAL S07,Design,DLR027,DE,31990,PCP,,referral
SL000305,2025-09-06,DEEPAL S07,Design,DLR025,DE,31990,PCP,,event
SL000306,2025-09-06,DEEPAL S07,Design,DLR002,GB,31990,lease,,website
SL000307,2025-09-06,DEEPAL S07,Design,DLR002,DE,31990,PCP,,dealer_walkin
SL000308,2025-09-06,DEEPAL S07,Design,DLR005,DE,31990,PCP,LD008300,test_drive
SL000309,2025-09-06,DEEPAL S07,Pure,DLR001,GB,27990,PCP,,website
SL000310,2025-09-06,DEEPAL S07,Design,DLR027,DE,31990,PCP,,dealer_walkin
SL000311,2025-09-06,DEEPAL S07,Pure,DLR016,FR,27990,PCP,,website
SL000312,2025-09-06,DEEPAL S07,Intelligence,DLR016,GB,35990,HP,,website
SL000313,2025-09-06,DEEPAL S07,Design,DLR001,DE,31990,PCP,,event
SL000314,2025-09-06,DEEPAL S07,Pure,DLR037,DE,27990,PCP,,event
