date,insertion_order,line_item_name,line_item_id,market,model,creative_size,exchange,impressions,clicks,ctr,cpm,spend,viewable_impressions,viewability_rate,video_completions,video_completion_rate
2025-01-03,IO6955,DV360_GB_S07_PROSP_CONQUEST_TESLA_20250103,DV64620,GB,DEEPAL S07,728x90,Xandr,51746,503,0.009721,7.52,389.06,47190,0.912,5221,0.1009
2025-01-04,IO6080,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250104,DV11468,GB,DEEPAL S07,160x600,Index Exchange,786,8,0.010178,7.4,5.82,680,0.8654,197,0.2506
2025-01-04,IO3321,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250104,DV50898,GB,DEEPAL S07,160x600,PubMatic,29614,299,0.010097,2.74,81.18,25837,0.8725,7677,0.2592
2025-01-04,IO2594,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250104,DV22535,GB,DEEPAL S07,320x50,OpenX,53527,258,0.00482,2.79,149.18,42883,0.8012,0,0.0
2025-01-04,IO2188,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250104,DV78149,GB,DEEPAL S07,160x600,PubMatic,67978,744,0.010945,4.58,311.08,57306,0.843,0,0.0
2025-01-04,IO5005,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250104,DV64516,GB,DEEPAL S07,320x50,Google AdX,28028,303,0.010811,6.62,185.6,19761,0.7051,6390,0.228
2025-01-04,IO7547,DV360_GB_S07_PROSP_LOOKALIKE_CONVERTERS_20250104,DV86880,GB,DEEPAL S07,320x50,Google AdX,25945,189,0.007285,7.02,182.24,18792,0.7243,7679,0.296
2025-01-04,IO9232,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250104,DV98600,GB,DEEPAL S07,728x90,OpenX,742,3,0.004043,7.3,5.42,665,0.8972,0,0.0
2025-01-05,IO6512,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250105,DV31477,GB,DEEPAL S07,320x50,PubMatic,4426,16,0.003615,7.42,32.83,4059,0.9171,1119,0.2528
2025-01-05,IO9710,DV360_GB_S07_PROSP_EV_INTENDERS_20250105,DV64823,GB,DEEPAL S07,970x250,Index Exchange,13936,160,0.011481,7.55,105.16,12514,0.898,2966,0.2128
2025-01-05,IO6538,DV360_GB_S07_PROSP_YOUNG_PROFESSIONALS_20250105,DV60648,GB,DEEPAL S07,320x50,Google AdX,51920,609,0.01173,5.68,294.86,39896,0.7684,6109,0.1177
2025-01-05,IO5932,DV360_GB_S07_PROSP_YOUNG_PROFESSIONALS_20250105,DV29346,GB,DEEPAL S07,320x50,OpenX,49053,421,0.008583,6.93,339.81,40048,0.8164,7701,0.157
2025-01-05,IO9970,DV360_GB_S07_PROSP_PREMIUM_AUTO_20250105,DV11497,GB,DEEPAL S07,160x600,Google AdX,8595,88,0.010239,6.61,56.8,7301,0.8495,0,0.0
2025-01-05,IO9986,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250105,DV15855,GB,DEEPAL S07,160x600,Google AdX,35248,211,0.005986,5.71,201.44,31085,0.8819,3813,0.1082
2025-01-05,IO4777,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250105,DV39398,GB,DEEPAL S07,728x90,Index Exchange,558,4,0.007168,7.7,4.3,417,0.7487,64,0.1147
2025-01-06,IO4819,DV360_GB_S07_PROSP_FLEET_MANAGERS_20250106,DV84920,GB,DEEPAL S07,300x250,PubMatic,41822,272,0.006504,7.56,316.17,33945,0.8117,10428,0.2493
2025-01-06,IO3216,DV360_GB_S07_PROSP_EV_INTENDERS_20250106,DV24749,GB,DEEPAL S07,320x50,Google AdX,28707,155,0.005399,6.99,200.6,26043,0.9072,0,0.0
2025-01-06,IO3459,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250106,DV45759,GB,DEEPAL S07,728x90,Xandr,28054,165,0.005882,7.13,200.13,21644,0.7715,7001,0.2496
2025-01-06,IO4779,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250106,DV86268,GB,DEEPAL S07,970x250,OpenX,105267,574,0.005453,2.2,231.47,96321,0.915,0,0.0
2025-01-06,IO1488,DV360_GB_S07_PROSP_LOOKALIKE_CONVERTERS_20250106,DV57880,GB,DEEPAL S07,160x600,Google AdX,32121,313,0.009744,6.6,211.96,25459,0.7926,8847,0.2754
2025-01-06,IO6976,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250106,DV78841,GB,DEEPAL S07,320x50,Index Exchange,53186,476,0.00895,7.16,380.88,48788,0.9173,0,0.0
2025-01-06,IO5138,DV360_GB_S07_PROSP_TECH_ENTHUSIASTS_20250106,DV61256,GB,DEEPAL S07,300x250,OpenX,17839,88,0.004933,5.1,91.04,13103,0.7346,0,0.0
2025-01-07,IO6872,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250107,DV72685,GB,DEEPAL S07,300x250,PubMatic,97397,300,0.00308,3.59,349.39,84720,0.8698,24685,0.2534
2025-01-07,IO5715,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250107,DV96144,GB,DEEPAL S07,320x50,OpenX,43183,230,0.005326,6.66,287.39,34218,0.7924,0,0.0
2025-01-07,IO9470,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250107,DV43930,GB,DEEPAL S07,970x250,PubMatic,4078,22,0.005395,5.82,23.74,3532,0.8662,777,0.1905
2025-01-07,IO2726,DV360_GB_S07_PROSP_CONQUEST_TESLA_20250107,DV18054,GB,DEEPAL S07,320x50,Google AdX,49098,227,0.004623,4.52,221.8,36792,0.7494,8490,0.1729
2025-01-07,IO9011,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250107,DV10199,GB,DEEPAL S07,970x250,Google AdX,113314,1157,0.010211,3.06,346.6,100568,0.8875,0,0.0
2025-01-07,IO3243,DV360_GB_S07_PROSP_FLEET_MANAGERS_20250107,DV26476,GB,DEEPAL S07,300x250,Google AdX,54965,619,0.011262,4.66,256.24,42948,0.7814,5767,0.1049
2025-01-07,IO8231,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250107,DV76402,GB,DEEPAL S07,320x50,Index Exchange,26377,102,0.003867,2.31,60.81,21544,0.8168,0,0.0
2025-01-08,IO8275,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250108,DV67333,GB,DEEPAL S07,970x250,OpenX,36268,141,0.003888,2.22,80.59,27498,0.7582,7031,0.1939
2025-01-08,IO8592,DV360_GB_S07_PROSP_SITE_VISITORS_20250108,DV80011,GB,DEEPAL S07,970x250,OpenX,20945,136,0.006493,4.12,86.3,17165,0.8196,0,0.0
2025-01-08,IO3289,DV360_GB_S07_PROSP_YOUNG_PROFESSIONALS_20250108,DV55604,GB,DEEPAL S07,160x600,Index Exchange,50729,383,0.00755,5.29,268.18,36350,0.7166,0,0.0
2025-01-08,IO2623,DV360_GB_S07_PROSP_EV_INTENDERS_20250108,DV95963,GB,DEEPAL S07,320x50,Xandr,44967,155,0.003447,3.25,145.93,34460,0.7664,0,0.0
2025-01-08,IO7166,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250108,DV45040,GB,DEEPAL S07,160x600,PubMatic,179762,1447,0.00805,2.32,416.42,148655,0.827,33908,0.1886
2025-01-08,IO6030,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250108,DV49272,GB,DEEPAL S07,728x90,OpenX,58837,702,0.011931,2.99,175.97,52261,0.8882,0,0.0
2025-01-08,IO1057,DV360_GB_S07_PROSP_YOUNG_PROFESSIONALS_20250108,DV14641,GB,DEEPAL S07,728x90,Xandr,13449,127,0.009443,7.47,100.46,9432,0.7014,0,0.0
2025-01-09,IO8155,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250109,DV52890,GB,DEEPAL S07,728x90,Google AdX,70410,791,0.011234,5.81,409.17,62821,0.8922,0,0.0
2025-01-09,IO5170,DV360_GB_S07_PROSP_PREMIUM_AUTO_20250109,DV13941,GB,DEEPAL S07,320x50,PubMatic,15298,81,0.005295,5.86,89.58,12891,0.8427,0,0.0
2025-01-09,IO8821,DV360_GB_S07_PROSP_SITE_VISITORS_20250109,DV36858,GB,DEEPAL S07,320x50,OpenX,28114,283,0.010066,2.94,82.69,24101,0.8573,5203,0.1851
2025-01-09,IO7352,DV360_GB_S07_PROSP_LOOKALIKE_CONVERTERS_20250109,DV89384,GB,DEEPAL S07,300x250,Google AdX,27062,304,0.011233,7.41,200.6,22664,0.8375,7257,0.2682
2025-01-09,IO7910,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250109,DV52681,GB,DEEPAL S07,160x600,OpenX,185616,2021,0.010888,2.81,521.39,139776,0.753,49943,0.2691
2025-01-09,IO8208,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250109,DV45204,GB,DEEPAL S07,160x600,Index Exchange,7040,32,0.004545,6.75,47.56,5733,0.8144,0,0.0
2025-01-09,IO6017,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250109,DV48053,GB,DEEPAL S07,728x90,OpenX,4559,44,0.009651,6.24,28.46,3682,0.8076,1358,0.2979
2025-01-10,IO1757,DV360_GB_S07_PROSP_CONQUEST_BMW_20250110,DV25269,GB,DEEPAL S07,970x250,Index Exchange,26370,263,0.009973,3.4,89.77,20484,0.7768,5441,0.2063
2025-01-10,IO1290,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250110,DV89820,GB,DEEPAL S07,300x250,Google AdX,18517,91,0.004914,7.18,132.88,16962,0.916,0,0.0
2025-01-10,IO1128,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250110,DV98466,GB,DEEPAL S07,970x250,Xandr,9362,102,0.010895,2.77,25.97,7313,0.7812,2603,0.278
2025-01-10,IO8703,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250110,DV59868,GB,DEEPAL S07,160x600,Xandr,9294,52,0.005595,7.72,71.77,8487,0.9132,1611,0.1733
2025-01-10,IO7425,DV360_GB_S07_PROSP_LOOKALIKE_CONVERTERS_20250110,DV53990,GB,DEEPAL S07,728x90,Xandr,27777,204,0.007344,3.1,85.98,20704,0.7454,0,0.0
2025-01-10,IO8881,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250110,DV82641,GB,DEEPAL S07,300x250,Index Exchange,178352,1798,0.010081,4.15,740.44,133276,0.7473,44298,0.2484
2025-01-10,IO6889,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250110,DV44640,GB,DEEPAL S07,320x50,PubMatic,173407,560,0.003229,2.73,473.95,134876,0.7778,31050,0.1791
2025-01-11,IO2218,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250111,DV44189,GB,DEEPAL S07,728x90,Google AdX,8986,97,0.010795,2.82,25.35,7052,0.7848,1020,0.1135
2025-01-11,IO8465,DV360_GB_S07_PROSP_TECH_ENTHUSIASTS_20250111,DV72760,GB,DEEPAL S07,320x50,Index Exchange,11544,69,0.005977,2.19,25.28,10553,0.9142,0,0.0
2025-01-11,IO4591,DV360_GB_S07_PROSP_TECH_ENTHUSIASTS_20250111,DV69977,GB,DEEPAL S07,160x600,Xandr,8643,89,0.010297,3.34,28.84,6912,0.7997,1581,0.1829
2025-01-11,IO6145,DV360_GB_S07_PROSP_SITE_VISITORS_20250111,DV35778,GB,DEEPAL S07,728x90,OpenX,6265,58,0.009258,4.81,30.11,4916,0.7848,0,0.0
2025-01-11,IO7795,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250111,DV58312,GB,DEEPAL S07,320x50,Google AdX,81821,770,0.009411,7.32,598.81,59777,0.7306,17259,0.2109
2025-01-11,IO8139,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250111,DV77123,GB,DEEPAL S07,728x90,Google AdX,7702,34,0.004414,3.65,28.15,5451,0.7078,1307,0.1697
2025-01-11,IO8895,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250111,DV10884,GB,DEEPAL S07,300x250,PubMatic,76080,391,0.005139,4.34,329.86,62050,0.8156,0,0.0
2025-01-12,IO8429,DV360_GB_S07_PROSP_TECH_ENTHUSIASTS_20250112,DV27442,GB,DEEPAL S07,320x50,PubMatic,17213,193,0.011212,6.98,120.18,12999,0.7552,0,0.0
2025-01-12,IO6858,DV360_GB_S07_PROSP_LOOKALIKE_CONVERTERS_20250112,DV30769,GB,DEEPAL S07,970x250,Google AdX,13770,84,0.0061,7.42,102.22,10527,0.7645,2340,0.1699
2025-01-12,IO5156,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250112,DV99396,GB,DEEPAL S07,970x250,OpenX,34073,335,0.009832,4.28,145.69,26451,0.7763,8680,0.2547
2025-01-12,IO3449,DV360_GB_S07_PROSP_TECH_ENTHUSIASTS_20250112,DV49112,GB,DEEPAL S07,300x250,OpenX,20495,169,0.008246,5.3,108.53,15787,0.7703,0,0.0
2025-01-12,IO2413,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250112,DV75252,GB,DEEPAL S07,320x50,OpenX,23269,223,0.009584,5.15,119.84,21036,0.9041,0,0.0
2025-01-12,IO3197,DV360_GB_S07_PROSP_FLEET_MANAGERS_20250112,DV75853,GB,DEEPAL S07,970x250,OpenX,41508,188,0.004529,7.86,326.08,32992,0.7948,0,0.0
2025-01-12,IO8371,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250112,DV63813,GB,DEEPAL S07,320x50,OpenX,77798,538,0.006915,3.07,238.84,63829,0.8204,0,0.0
2025-01-13,IO7384,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250113,DV87029,GB,DEEPAL S07,728x90,Google AdX,12399,81,0.006533,7.71,95.54,8736,0.7046,2573,0.2075
2025-01-13,IO6504,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250113,DV88802,GB,DEEPAL S07,728x90,PubMatic,23851,202,0.008469,7.08,168.96,21126,0.8858,6641,0.2784
2025-01-13,IO8036,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250113,DV52258,GB,DEEPAL S07,970x250,Index Exchange,21492,162,0.007538,6.81,146.41,17708,0.8239,0,0.0
2025-01-13,IO5372,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250113,DV78712,GB,DEEPAL S07,970x250,Xandr,29213,244,0.008352,3.32,96.89,25439,0.8708,7878,0.2697
2025-01-13,IO4474,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250113,DV77089,GB,DEEPAL S07,300x250,Index Exchange,58743,630,0.010725,6.91,406.19,41203,0.7014,0,0.0
2025-01-13,IO1339,DV360_GB_S07_PROSP_EV_INTENDERS_20250113,DV12642,GB,DEEPAL S07,970x250,OpenX,15324,177,0.011551,5.6,85.87,13499,0.8809,4217,0.2752
2025-01-13,IO9019,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250113,DV44381,GB,DEEPAL S07,300x250,PubMatic,178653,1052,0.005889,2.07,369.47,153714,0.8604,0,0.0
2025-01-14,IO2825,DV360_GB_S07_PROSP_FLEET_MANAGERS_20250114,DV48911,GB,DEEPAL S07,300x250,PubMatic,26481,131,0.004947,2.84,75.12,20103,0.7592,4928,0.1861
2025-01-14,IO3708,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250114,DV92767,GB,DEEPAL S07,160x600,Xandr,118393,692,0.005845,2.81,332.49,99537,0.8407,14162,0.1196
2025-01-14,IO9905,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250114,DV34682,GB,DEEPAL S07,728x90,Google AdX,177780,646,0.003634,2.07,368.07,154631,0.8698,27032,0.1521
2025-01-14,IO5724,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250114,DV26026,GB,DEEPAL S07,300x250,PubMatic,29982,158,0.00527,7.66,229.55,22727,0.758,6516,0.2173
2025-01-14,IO2715,DV360_GB_S07_PROSP_CONQUEST_BMW_20250114,DV61552,GB,DEEPAL S07,970x250,Xandr,98025,342,0.003489,3.27,321.0,82076,0.8373,17209,0.1756
2025-01-14,IO6852,DV360_GB_S07_PROSP_CONQUEST_BMW_20250114,DV37651,GB,DEEPAL S07,300x250,Xandr,30726,177,0.005761,6.72,206.56,25387,0.8263,7486,0.2436
2025-01-14,IO5820,DV360_GB_S07_PROSP_CONQUEST_BMW_20250114,DV89323,GB,DEEPAL S07,320x50,Xandr,5870,21,0.003578,7.3,42.84,4353,0.7417,1232,0.2099
2025-01-15,IO4071,DV360_GB_S07_PROSP_SITE_VISITORS_20250115,DV98224,GB,DEEPAL S07,320x50,Index Exchange,141688,1481,0.010453,2.66,376.6,108598,0.7665,0,0.0
2025-01-15,IO1262,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250115,DV72498,GB,DEEPAL S07,320x50,Google AdX,76642,634,0.008272,4.06,311.2,55818,0.7283,0,0.0
2025-01-15,IO1320,DV360_GB_S07_PROSP_LOOKALIKE_CONVERTERS_20250115,DV18020,GB,DEEPAL S07,728x90,PubMatic,14720,105,0.007133,5.9,86.92,12262,0.833,2433,0.1653
2025-01-15,IO8334,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250115,DV74131,GB,DEEPAL S07,160x600,Xandr,7122,22,0.003089,2.63,18.73,5746,0.8069,2028,0.2848
2025-01-15,IO5864,DV360_GB_S07_PROSP_PREMIUM_AUTO_20250115,DV99859,GB,DEEPAL S07,320x50,PubMatic,606,2,0.0033,4.75,2.88,488,0.8054,0,0.0
2025-01-15,IO2477,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250115,DV31208,GB,DEEPAL S07,970x250,Xandr,2244,20,0.008913,5.63,12.63,1992,0.8881,0,0.0
2025-01-15,IO6020,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250115,DV80111,GB,DEEPAL S07,728x90,OpenX,151613,614,0.00405,5.08,770.03,126891,0.8369,26801,0.1768
2025-01-16,IO9132,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250116,DV10418,GB,DEEPAL S07,300x250,Xandr,123562,559,0.004524,3.4,420.37,86622,0.701,13179,0.1067
2025-01-16,IO4573,DV360_GB_S07_PROSP_FLEET_MANAGERS_20250116,DV37537,GB,DEEPAL S07,970x250,Index Exchange,93608,307,0.00328,5.97,559.31,80895,0.8642,21563,0.2304
2025-01-16,IO4077,DV360_GB_S07_PROSP_FAMILY_BUYERS_20250116,DV80129,GB,DEEPAL S07,300x250,OpenX,22104,219,0.009908,8.0,176.77,19659,0.8894,3670,0.166
2025-01-16,IO4284,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250116,DV19226,GB,DEEPAL S07,728x90,PubMatic,1650,18,0.010909,5.39,8.89,1480,0.8974,238,0.1442
2025-01-16,IO5960,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250116,DV67269,GB,DEEPAL S07,160x600,PubMatic,38917,160,0.004111,5.63,219.17,32799,0.8428,0,0.0
2025-01-16,IO5918,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250116,DV58411,GB,DEEPAL S07,728x90,OpenX,10164,67,0.006592,4.89,49.73,9048,0.8903,2194,0.2159
2025-01-16,IO4696,DV360_GB_S07_PROSP_LUXURY_LIFESTYLE_20250116,DV49686,GB,DEEPAL S07,300x250,PubMatic,32988,266,0.008064,2.64,87.1,26472,0.8025,0,0.0
2025-01-17,IO1296,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250117,DV25174,GB,DEEPAL S07,160x600,Google AdX,47516,510,0.010733,5.61,266.35,40289,0.8479,13900,0.2925
2025-01-17,IO3939,DV360_GB_S07_PROSP_CONQUEST_TESLA_20250117,DV47855,GB,DEEPAL S07,728x90,PubMatic,29147,240,0.008234,6.08,177.23,24791,0.8506,0,0.0
2025-01-17,IO9646,DV360_GB_S07_PROSP_CONQUEST_TESLA_20250117,DV11056,GB,DEEPAL S07,160x600,OpenX,33332,362,0.01086,4.29,142.92,29309,0.8793,5178,0.1553
2025-01-17,IO1121,DV360_GB_S07_PROSP_CONQUEST_BMW_20250117,DV28909,GB,DEEPAL S07,728x90,OpenX,44715,230,0.005144,5.1,227.93,37114,0.83,0,0.0
2025-01-17,IO3781,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250117,DV36035,GB,DEEPAL S07,160x600,PubMatic,32920,164,0.004982,7.88,259.43,24455,0.7429,0,0.0
2025-01-17,IO4386,DV360_GB_S07_PROSP_PREMIUM_AUTO_20250117,DV44367,GB,DEEPAL S07,970x250,PubMatic,186208,1047,0.005623,2.62,488.57,167301,0.8985,0,0.0
2025-01-17,IO5098,DV360_GB_S07_PROSP_LOOKALIKE_CONVERTERS_20250117,DV76304,GB,DEEPAL S07,320x50,PubMatic,11736,120,0.010225,5.99,70.36,9867,0.8408,2853,0.2431
2025-01-18,IO4930,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250118,DV75919,GB,DEEPAL S07,728x90,Google AdX,12754,40,0.003136,3.75,47.86,10678,0.8372,0,0.0
2025-01-18,IO6708,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250118,DV19181,GB,DEEPAL S07,970x250,PubMatic,30802,185,0.006006,7.52,231.74,27474,0.892,0,0.0
2025-01-18,IO7639,DV360_GB_S07_PROSP_SITE_VISITORS_20250118,DV75172,GB,DEEPAL S07,970x250,PubMatic,937,6,0.006403,2.45,2.3,820,0.8754,0,0.0
2025-01-18,IO2517,DV360_GB_S07_PROSP_YOUNG_PROFESSIONALS_20250118,DV56324,GB,DEEPAL S07,160x600,OpenX,7392,40,0.005411,2.41,17.82,5480,0.7413,1725,0.2334
2025-01-18,IO9697,DV360_GB_S07_PROSP_CONQUEST_AUDI_20250118,DV50520,GB,DEEPAL S07,320x50,Index Exchange,47526,384,0.00808,7.09,336.86,39944,0.8405,8766,0.1844
2025-01-18,IO6429,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250118,DV70522,GB,DEEPAL S07,970x250,PubMatic,96949,425,0.004384,4.36,422.62,81408,0.8397,14033,0.1447
2025-01-18,IO2296,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250118,DV76830,GB,DEEPAL S07,300x250,OpenX,32239,285,0.00884,3.98,128.43,27032,0.8385,0,0.0
2025-01-19,IO3383,DV360_GB_S07_PROSP_TECH_ENTHUSIASTS_20250119,DV74965,GB,DEEPAL S07,300x250,PubMatic,23139,158,0.006828,6.62,153.11,18935,0.8184,0,0.0
2025-01-19,IO7527,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250119,DV67086,GB,DEEPAL S07,728x90,Google AdX,39838,449,0.011271,6.86,273.2,32233,0.8091,0,0.0
2025-01-19,IO1897,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250119,DV90942,GB,DEEPAL S07,728x90,Index Exchange,18988,89,0.004687,7.62,144.76,13968,0.7357,4065,0.2141
2025-01-19,IO5063,DV360_GB_S07_PROSP_ECO_CONSCIOUS_20250119,DV66748,GB,DEEPAL S07,300x250,Google AdX,15612,73,0.004676,4.73,73.89,11686,0.7485,2846,0.1823
2025-01-19,IO6562,DV360_GB_S07_PROSP_YOUNG_PROFESSIONALS_20250119,DV92716,GB,DEEPAL S07,160x600,Google AdX,26477,96,0.003626,3.99,105.73,22949,0.8668,4759,0.1797
2025-01-19,IO8602,DV360_GB_S07_PROSP_CONFIGURATOR_USERS_20250119,DV86741,GB,DEEPAL S07,320x50,PubMatic,47817,175,0.00366,2.43,116.31,43107,0.9015,0,0.0
2025-01-19,IO7551,DV360_GB_S07_PROSP_ENGAGED_VIEWERS_20250119,DV78394,GB,DEEPAL S07,300x250,OpenX,37665,334,0.008868,2.16,81.26,30643,0.8136,7956,0.2112
